Ernest Marriott,1875,Forward,1,1,0,0,0,NA,Salford,United Kingdom,England,North West England,Greater Manchester,January 15,1857,England
Edward Turner,1875,Forward,3,3,0,0,1,NA,Epping,France,57720,France métropolitaine,Lorraine,September 1854,Epping,England
Courteney Verelst,1875,Forward,2,2,0,0,0,NA,Wirral,Canada,New Brunswick,Queens County,Wirral,November 16,1855,England
Arthur Heath,1876,Fullback,1,1,0,0,0,NA,Newcastle-under-Lyme,United Kingdom,England,West Midlands,Staffordshire,May 29,1856,England
William Hunt,1876,Forward,4,3,1,0,0,NA,Preston,United Kingdom,England,North West England,Lancashire,May 11,1854,England
William Hutchinson,1876,Halfback,2,2,0,0,2,NA,Charlton,United States of America,Georgia,Charlton,Missing,circa 1856,Charlton,England
Frederic Lee,1876,Forward,2,2,0,0,1,NA,Chelsea,United Kingdom,England,Greater London,London,September 14,1855,England
William Rawlinson,1876,Forward,1,1,0,0,0,NA,Bury St Edmunds,United Kingdom,England,East of England,Suffolk,December 17,1855,England
Thomas Tetley,1876,Three-quarters,1,1,0,0,0,NA,Bradford,United Kingdom,England,Yorkshire and the Humber,Bradford,April 12,1856,England
George Turner,1876,Forward,1,1,0,0,0,NA,Essex,United Kingdom,England,East of England,Essex,October 22,1855,England
Henry Fowler,1877,Forward,1,1,0,0,0,NA,Herts,Portugal,Viseu,Tarouca,Valdevez,(guess: regd Q3),Watford,England
Gillie Harrison,1877,Forward,7,5,1,1,0,NA,Cottingham,United Kingdom,England,Yorkshire and the Humber,East Riding of Yorkshire,June 13,1858,England
Monkey Hornby,1877,Fullback,9,4,2,3,1,NA,Blackburn,United Kingdom,England,North West England,Blackburn with Darwen,February 10,1847,England
Petley Price,1877,Halfback,3,1,1,1,0,NA,Poona,Australia,Queensland,Poona,Missing,April 25,1856,England
Charles Touzel,1877,Forward,2,1,1,0,0,NA,Cheshire,United States of America,Connecticut,New Haven County,Cheshire,(guess: regd Q2),Wirral,England
Harry Garnett,1877,Forward,1,0,1,0,0,NA,Yorks,Deutschland,10965,Berlin,Friedrichshain-Kreuzberg,September 16,1851,England
Archibald Law,1877,Forward,1,0,1,0,0,NA,Nice,France,06000;06100;06200;06300,France métropolitaine,Provence-Alpes-Côte d'Azur,February 2,1853,England
Robert Todd,1877,Forward,1,0,1,0,0,NA,Bury,United Kingdom,England,East of England,Suffolk,April 1847,Bury,England
