"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Petley Price","England",1877,3,1,1,1,0,NA,"Poona","AUS","April 25","1856"
"Charles Touzel","England",1877,2,1,1,0,0,NA,"Cheshire","ENG","(guess: regd Q2)","Wirral"
"Harry Garnett","England",1877,1,0,1,0,0,NA,"Yorks","ENG","September 16","1851"
"Archibald Law","England",1877,1,0,1,0,0,NA,"Nice","FR","February 2","1853"
"Robert Todd","England",1877,1,0,1,0,0,NA,"Bury","ENG","April 1847","Bury"
"John Biggs","England",1878,2,1,0,1,0,NA,"Reading","ENG","October 25","1855"
"Frank Fowler","England",1878,2,0,0,2,0,NA,"Newbury","ENG","August 16","1855"
"Howard Fowler","England",1878,3,1,0,2,0,NA,"Tottenham","ENG","October 20","1857"
"Temple Gurdon","England",1878,16,12,1,3,1,NA,"Barnham Broom, Norfolk","ENG","January 25","1854"
"Henry Kayll","England",1878,1,0,0,1,0,NA,"Sunderland","ENG","July 16","1855"
"George Thomson","England",1878,9,6,1,2,1,NA,"Halifax","ENG","November 26","1856"
"George Vernon","England",1878,5,4,0,1,0,NA,"London","ENG","June 20","1856"
"John Bell","England",1878,1,1,0,0,0,NA,"Newcastle-under-Lyme","ENG","(guess: regd Q2)","Newcastle-uunder-Lym"
"Thomas Blatherwick","England",1878,1,1,0,0,0,NA,"Quebec","CAN","December 25","1855"
"Jimmy Budd","England",1878,5,3,0,2,1,NA,"Bristol","ENG","October 14","1853"
"Ernest Dawson","England",1878,1,1,0,0,0,NA,"Charlottetown","CAN","May 10","1858"
"Henry Enthoven","England",1878,1,1,0,0,0,NA,"Liverpool","ENG","March 16","1855"
"Herbert Gardner","England",1878,1,1,0,0,1,NA,"Cawnpore","AUS","December 4","1854"
"Allan Jackson","England",1878,NA,NA,NA,NA,NA,NA,"Spanish Town","JAM","August 12","1858"
"William Penny","England",1878,3,2,0,1,1,NA,"Langport","ENG","(guess: regd Q4)","Langport"
"George Burton","England",1879,6,4,0,2,6,NA,"Wakefield","ENG","August 29","1855"
"Harry Huth","England",1879,1,0,0,1,0,NA,"Huddersfield","ENG","February 14","1856"
"Norman McLeod","England",1879,2,1,0,1,0,NA,"Madras","INDIA","June 30","1856"
"Stuart Neame","England",1879,4,3,0,1,0,NA,"Preston-next-Faversham","ENG","June 15","1856"
