"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"James Stewart","NewZealand",1913,2,1,1,0,0,0,"Kaiapoi","NZ","October 3","1890"
"Reginald Taylor","NewZealand",1913,2,1,1,0,1,3,"Hillsborough","NZ","March 23","1889"
"Eric Cockroft","NewZealand",1913,3,2,1,0,0,0,"Clinton","NZ","September 10","1890"
"Alfred Fanning","NewZealand",1913,1,0,1,0,1,3,"Christchurch","NZ","March 31","1890"
"James Tilyard","NewZealand",1913,1,0,1,0,0,0,"Waratah","AUS","August 27","1889"
"Michael Cain","NewZealand",1913,4,4,0,0,0,0,"Waitara","NZ","July 7","1885"
"James Graham","NewZealand",1913,3,3,0,0,0,10,"Dunedin","NZ","April 23","1884"
"Robert Black","NewZealand",1914,1,1,0,0,0,0,"Arrowtown","NZ","August 23","1893"
"John Bruce","NewZealand",1914,2,2,0,0,0,0,"Wellington","NZ","November 11","1887"
"Sal Irvine","NewZealand",1914,3,3,0,0,0,0,"Dunedin","NZ","July 1","1888"
"John O'Brien","NewZealand",1914,1,1,0,0,0,0,"Wellington","NZ","December 9","1889"
"Teddy Roberts","NewZealand",1914,5,3,1,1,0,4,"Wellington","NZ","May 10","1891"
"George Aitken","NewZealand",1921,10,8,2,0,0,0,"Westport","NZ","July 2","1898"
"Cecil Badeley","NewZealand",1921,2,1,1,0,0,0,"Auckland","NZ","November 7","1896"
"Moke Belliss","NewZealand",1921,3,1,1,1,1,3,"Palmerston North","NZ","April 1","1894"
"Jim Donald","NewZealand",1921,2,1,1,0,0,0,"Featherston","NZ","June 4","1898"
"Bill Duncan","NewZealand",1921,3,1,1,1,0,0,"Port Chalmers","NZ","June 11","1892"
"Richard Fogarty","NewZealand",1921,2,1,0,1,0,0,"Matakanui","NZ","December 12","1891"
"Nipper Kingstone","NewZealand",1921,3,1,1,1,0,0,"Auckland","NZ","July 2","1895"
"Jim Moffitt","NewZealand",1921,3,1,1,1,0,0,"Waikaia","NZ","June 3","1889"
"Ginger Nicholls","NewZealand",1921,1,1,0,0,0,0,"Wellington","NZ","January 21","1900"
"Mark Nicholls","NewZealand",1921,10,8,1,1,0,48,"Greytown","NZ","July 13","1901"
"Jock Richardson","NewZealand",1921,7,5,1,1,1,3,"Dunedin","NZ","April 2","1899"
"John Steel","NewZealand",1921,6,4,1,1,3,9,"Dillmanstown","NZ","November 10","1898"
"Percival Storey","NewZealand",1921,2,1,1,0,1,3,"Temuka","NZ","February 11","1897"
"Son White","NewZealand",1921,4,4,0,0,1,3,"Invercargill","NZ","March 21","1894"
"Andrew McLean","NewZealand",1921,2,0,1,1,1,3,"Auckland","NZ","October 31","1898"
"Alfred West","NewZealand",1921,2,0,1,1,0,0,"Inglewood","NZ","May 6","1893"
"Billy Fea","NewZealand",1921,1,0,0,1,0,0,"Dunedin","NZ","October 5","1898"
"Charles Fletcher","NewZealand",1921,1,0,0,1,0,0,"Rewiti","NZ","May 9","1894"
"Karl Ifwersen","NewZealand",1921,1,0,0,1,0,0,"Auckland","NZ","January 6","1893"
"Stanley Siddells","NewZealand",1921,1,0,0,1,0,0,"Wellington","NZ","July 16","1897"
"Maurice Brownlie","NewZealand",1924,8,6,2,0,2,6,"Wanganui","NZ","August 10","1897"
"Bert Cooke","NewZealand",1924,8,7,1,0,4,12,"Auckland","NZ","October 5","1901"
"Les Cupples","NewZealand",1924,2,2,0,0,0,0,"Otautau","NZ","February 8","1898"
"Bill Dalley","NewZealand",1924,5,3,2,0,0,0,"Lyttelton","NZ","November 18","1901"
"Quentin Donald","NewZealand",1924,4,4,0,0,0,0,"Featherston","NZ","March 13","1900"
"Augustine Hart","NewZealand",1924,1,1,0,0,0,0,"Auckland","NZ","March 28","1897"
"Bull Irvine","NewZealand",1924,5,4,1,0,3,9,"Auckland","NZ","December 2","1898"
"Frederick Lucas","NewZealand",1924,7,6,1,0,1,3,"Auckland","NZ","January 30","1902"
"Read Masters","NewZealand",1924,4,4,0,0,0,0,"Picton","NZ","October 19","1900"
"George Nepia","NewZealand",1924,9,7,2,0,0,5,"Wairoa","NZ","April 25","1905"
"James Parker","NewZealand",1924,3,3,0,0,1,3,"Lyttelton","NZ","February 1","1897"
"Snowy Svenson","NewZealand",1924,4,4,0,0,4,12,"Toowoomba","AUS","December 6","1898"
"Cyril Brownlie","NewZealand",1924,3,3,0,0,0,0,"Wanganui","NZ","August 6","1895"
"Neil McGregor","NewZealand",1924,2,2,0,0,0,0,"Lowburn","NZ","December 29","1901"
"Jimmy Mill","NewZealand",1924,4,3,1,0,0,0,"Tokomaru Bay","NZ","November 19","1899"
"Cliff Porter","NewZealand",1925,7,4,3,0,4,12,"Edinburgh","SCO","May 5","1899"
"Geoff Alley","NewZealand",1928,3,1,2,0,0,0,"Amberly","NZ","February 4","1903"
"Syd Carleton","NewZealand",1928,6,1,5,0,0,0,"Christchurch","NZ","February 22","1904"
"Bunny Finlayson","NewZealand",1928,6,3,3,0,0,0,"Maungaturoto","NZ","July 4","1899"
"Bert Grenside","NewZealand",1928,6,2,4,0,3,9,"Hastings","NZ","April 9","1899"
"Swin Hadley","NewZealand",1928,4,2,2,0,0,0,"Wangaroa","NZ","September 19","1904"
"William Hazlett","NewZealand",1928,8,5,3,0,0,0,"Invercargill","NZ","November 8","1905"
"Lancelot Johnson","NewZealand",1928,4,2,2,0,0,0,"Lumsden","NZ","August 9","1897"
"David Lindsay","NewZealand",1928,3,1,2,0,0,3,"Studholm","NZ","December 9","1906"
"Alan Robilliard","NewZealand",1928,4,2,2,0,0,0,"Ashburton","NZ","December 20","1903"
"George Scrimshaw","NewZealand",1928,1,0,1,0,0,0,"Islington","NZ","December 1","1902"
"Ronald Stewart","NewZealand",1928,5,3,2,0,1,3,"Waikaia","NZ","January 12","1904"
"William Strang","NewZealand",1928,5,4,1,0,1,13,"Invercargill","NZ","October 18","1906"
"Tuna Swain","NewZealand",1928,4,2,2,0,1,3,"Sydney","AUS","circa 1902","Sydney"
"Reuben McWilliams","NewZealand",1928,10,5,5,0,1,3,"Paeroa","NZ","June 12","1901"
"Herb Lilburne","NewZealand",1928,10,3,6,1,0,4,"Burnham","NZ","March 16","1908"
"Ian Harvey","NewZealand",1928,1,1,0,0,0,0,"Masterton","NZ","January 1","1903"
"Beau Cottrell","NewZealand",1929,11,6,5,0,0,0,"Westport","NZ","February 10","1907"
"John Geddes","NewZealand",1929,1,0,1,0,0,0,"Invercargill","NZ","January 9","1907"
"Bill Heke","NewZealand",1929,3,0,3,0,0,0,"Mangakahia","NZ","September 3","1894"
"Lew Hook","NewZealand",1929,3,0,3,0,0,0,"Puni","NZ","May 4","1905"
"Charles Oliver","NewZealand",1929,7,2,5,0,2,6,"Wanganui","NZ","November 1","1905"
"Keith Reid","NewZealand",1929,2,0,2,0,0,0,"Clareville","NZ","May 25","1904"
"Wattie Reside","NewZealand",1929,1,0,1,0,0,0,"Masterton","NZ","October 6","1905"
"Fritz Snow","NewZealand",1929,3,0,3,0,0,0,"Nelson","NZ","April 19","1898"
"Charles Sonntag","NewZealand",1929,3,0,3,0,0,0,"Dunedin","NZ","June 6","1894"
"Jack Tuck","NewZealand",1929,3,0,3,0,0,0,"Tikokino","NZ","May 13","1907"
"Alfred Waterman","NewZealand",1929,2,0,2,0,0,0,"Auckland","NZ","December 31","1903"
"Clinton Stringfellow","NewZealand",1929,2,0,2,0,1,3,"Chertsey","NZ","February 26","1905"
"Alfred Kivell","NewZealand",1929,2,0,2,0,0,0,"Thames","NZ","April 12","1897"
"Bertram Palmer","NewZealand",1929,3,2,1,0,1,3,"Mosstown","NZ","November 14","1901"
"Rawi Cundy","NewZealand",1929,1,0,1,0,0,3,"Featherston","NZ","August 15","1901"
"Tiny Leys","NewZealand",1929,1,0,1,0,0,0,"Wellington","NZ","May 25","1907"
"Walter Batty","NewZealand",1930,4,3,1,0,1,3,"Tonga","TON","January 1","1905"
"George Hart","NewZealand",1930,11,8,3,0,7,21,"Christchurch","NZ","February 10","1909"
"Don Oliver","NewZealand",1930,2,1,1,0,1,3,"Dunedin","NZ","April 29","1909"
"Edward Steere","NewZealand",1930,6,4,2,0,0,0,"Raetihi","NZ","July 10","1908"
"Merv Corner","NewZealand",1930,6,4,2,0,0,0,"Auckland","NZ","July 5","1908"
"John Hore","NewZealand",1930,10,6,3,1,3,9,"Dunedin","NZ","August 9","1907"
"Hugh McLean","NewZealand",1930,9,5,4,0,3,9,"Wanganui","NZ","July 18","1907"
"Kelly Ball","NewZealand",1931,5,3,2,0,4,12,"Foxton","NZ","October 11","1908"
"Ron Bush","NewZealand",1931,1,1,0,0,0,14,"Nelson","NZ","May 3","1909"
"Ted Jessep","NewZealand",1931,4,2,1,1,0,0,"Sydney","AUS","October 11","1904"
"Donald Max","NewZealand",1931,3,1,1,1,1,3,"Nelson","NZ","March 7","1907"
"Thomas Metcalfe","NewZealand",1931,2,1,1,0,0,0,"Invercargill","NZ","May 13","1909"
"Rusty Page","NewZealand",1931,6,3,2,1,1,3,"Dunedin","NZ","May 10","1908"
"George Purdue","NewZealand",1931,4,3,1,0,1,3,"Invercargill","NZ","May 4","1909"
"Frank Solomon","NewZealand",1931,3,3,0,0,1,3,"Pago Pago","SAM","May 30","1906"
"George Bullock-Douglas","NewZealand",1932,5,2,2,1,3,9,"Wanganui","NZ","June 4","1911"
"Pat Caughey","NewZealand",1932,9,4,4,1,3,9,"Auckland","NZ","July 4","1911"
"Francis Kilby","NewZealand",1932,4,2,1,1,1,3,"Invercargill","NZ","April 24","1906"
"Jack Manchester","NewZealand",1932,9,4,4,1,1,3,"Waimate","NZ","January 29","1908"
"Bunk Pollock","NewZealand",1932,5,4,1,0,0,29,"Petone","NZ","September 7","1909"
"Joe Procter","NewZealand",1932,1,0,1,0,0,0,"Dunedin","NZ","May 22","1906"
"Ray Clarke","NewZealand",1932,2,2,0,0,0,0,"Warea","NZ","July 7","1908"
"Arthur Collins","NewZealand",1932,3,2,1,0,0,9,"Stratford","NZ","July 19","1906"
"Gordon Innes","NewZealand",1932,1,1,0,0,0,0,"Dunedin","NZ","September 8","1910"
"Bill Hadley","NewZealand",1934,8,4,3,1,2,6,"Auckland","NZ","March 11","1910"
"Bubs Knight","NewZealand",1934,1,0,1,0,1,3,"Auckland","NZ","January 26","1906"
"Arthur Lambourn","NewZealand",1934,10,4,5,1,0,0,"Maryborough","AUS","January 11","1910"
"Roderick McKenzie","NewZealand",1934,9,6,3,0,0,0,"Rakaia","NZ","September 16","1909"
"Ned Barry","NewZealand",1934,1,0,0,1,0,0,"Temuka","NZ","September 3","1905"
"Jack Griffiths","NewZealand",1934,7,5,1,1,0,0,"Wellington","NZ","September 9","1912"
"Edward Holder","NewZealand",1934,1,0,0,1,0,0,"Seddonville","NZ","July 26","1908"
"Ron King","NewZealand",1934,13,8,4,1,0,0,"Waiuta","NZ","August 19","1909"
"Hawea Mataira","NewZealand",1934,1,0,0,1,0,0,"Nuhaka","NZ","December 3","1910"
"Mike Gilbert","NewZealand",1935,4,2,2,0,0,20,"Rothesay","SCO","March 1","1911"
"Tonk Mahoney","NewZealand",1935,4,2,2,0,0,0,"Woodville","NZ","July 15","1908"
"Brushy Mitchell","NewZealand",1935,8,5,3,0,4,12,"Invercargill","NZ","November 22","1913"
"Tori Reid","NewZealand",1935,9,5,4,0,2,6,"Tokomaru Bay","NZ","September 22","1912"
"Joey Sadler","NewZealand",1935,5,4,1,0,0,0,"Wellington","NZ","July 28","1914"
"Doug Dalton","NewZealand",1935,9,6,3,0,0,0,"Napier","NZ","January 18","1913"
"Snowy Tindill","NewZealand",1936,1,0,1,0,0,0,"Nelson","NZ","December 18","1910"
"Everard Jackson","NewZealand",1936,6,4,2,0,0,0,"Hastings","NZ","January 12","1914"
"Shorty Killeen","NewZealand",1936,1,1,0,0,0,0,"Wellington","NZ","April 13","1911"
"John Rankin","NewZealand",1936,3,2,1,0,2,6,"Christchurch","NZ","February 14","1914"
"Jim Watt","NewZealand",1936,2,2,0,0,2,6,"Dunedin","NZ","July 5","1914"
"Jock Wells","NewZealand",1936,2,2,0,0,0,0,"Onetea","NZ","January 4","1908"
"Colin Gillies","NewZealand",1936,1,1,0,0,0,0,"Oamaru","NZ","October 8","1912"
"Ronald Ward","NewZealand",1936,3,2,1,0,0,0,"Riverton","NZ","December 1","1915"
"Donald Cobden","NewZealand",1937,1,1,0,0,0,0,"Christchurch","NZ","August 11","1914"
"John Dick","NewZealand",1937,3,2,1,0,1,3,"Auckland","NZ","October 3","1912"
"John Hooper","NewZealand",1937,3,1,2,0,0,0,"Christchurch","NZ","November 20","1913"
"Allan Parkhill","NewZealand",1937,6,4,2,0,1,3,"Palmerston","NZ","April 22","1912"
"Harold Simon","NewZealand",1937,3,1,2,0,0,0,"Kingston","NZ","March 7","1911"
"John Sullivan","NewZealand",1937,6,4,2,0,3,9,"Tahora","NZ","March 30","1915"
"John Taylor","NewZealand",1937,6,4,2,0,0,24,"Mataura","NZ","January 12","1913"
"David Trevathan","NewZealand",1937,3,1,2,0,0,16,"Mosgiel","NZ","May 6","1912"
"Bill Phillips","NewZealand",1937,3,2,1,0,1,3,"Raglan","NZ","January 30","1914"
"Trevor Berghan","NewZealand",1938,3,3,0,0,0,0,"Houhora","NZ","July 13","1914"
"Snow Bowman","NewZealand",1938,3,3,0,0,2,6,"Auckland","NZ","May 5","1915"
"Les George","NewZealand",1938,3,3,0,0,0,0,"Invercargill","NZ","June 5","1908"
"Harold Milliken","NewZealand",1938,3,3,0,0,1,3,"Christchurch","NZ","February 27","1914"
"Thomas Morrison","NewZealand",1938,3,3,0,0,0,4,"Wellington","NZ","July 28","1913"
"Charlie Quaid","NewZealand",1938,2,2,0,0,0,0,"Christchurch","NZ","August 17","1908"
"Charles Saxton","NewZealand",1938,3,3,0,0,3,9,"Kurow","NZ","May 23","1913"
"Fred Allen","NewZealand",1946,6,4,2,0,0,0,"Oamaru","NZ","February 9","1920"
"Wally Argus","NewZealand",1946,4,4,0,0,4,12,"Auckland","NZ","May 29","1921"
"Has Catley","NewZealand",1946,7,3,4,0,0,0,"Hamilton","NZ","September 23","1915"
"John Dunn","NewZealand",1946,1,1,0,0,0,0,"Auckland","NZ","November 17","1918"
"Ken Elliott","NewZealand",1946,2,2,0,0,1,3,"Wellington","NZ","March 3","1922"
"Ron Elvidge","NewZealand",1946,9,4,4,1,4,12,"Timaru","NZ","March 2","1923"
"Jack Finlay","NewZealand",1946,1,1,0,0,1,3,"Normanby","NZ","January 31","1916"
"Harry Frazer","NewZealand",1946,5,4,1,0,1,3,"Wanganui","NZ","April 21","1916"
"Jimmy Haig","NewZealand",1946,2,2,0,0,1,3,"Prestonpans","SCO","December 7","1924"
"Maurice McHugh","NewZealand",1946,3,2,1,0,0,0,"Auckland","NZ","February 19","1917"
"Pat Rhind","NewZealand",1946,2,2,0,0,0,0,"Lyttelton","NZ","June 20","1915"
"Bob Scott","NewZealand",1946,17,10,6,1,0,74,"Wellington","NZ","February 6","1921"
"John Smith","NewZealand",1946,4,2,2,0,1,6,"Kaikohe","NZ","September 25","1922"
"Roy White","NewZealand",1946,4,4,0,0,1,3,"Dannevirke","NZ","October 18","1917"
"Charlie Willocks","NewZealand",1946,5,2,3,0,0,0,"Balclutha","NZ","June 28","1919"
"John McRae","NewZealand",1946,2,2,0,0,0,0,"Springhills","NZ","April 29","1914"
"Eric Boggs","NewZealand",1946,2,1,1,0,0,0,"Whangarei","NZ","March 28","1922"
"Thomas Budd","NewZealand",1946,2,1,1,0,0,0,"Bluff","NZ","August 1","1922"
"Maurice Goddard","NewZealand",1946,5,3,2,0,1,3,"Timaru","NZ","September 28","1921"
"Keith Arnold","NewZealand",1947,2,2,0,0,1,3,"Feilding","NZ","March 1","1920"
"Ben Couch","NewZealand",1947,3,1,2,0,0,0,"Christchurch","NZ","June 27","1925"
"Ray Dalton","NewZealand",1947,2,2,0,0,0,0,"Te Awamutu","NZ","July 14","1919"
"Goldie Grant","NewZealand",1947,4,2,2,0,0,0,"Temuka","NZ","October 4","1923"
"John McLean","NewZealand",1947,2,1,1,0,0,0,"Thames","NZ","October 1","1923"
"Johnny Simpson","NewZealand",1947,9,4,4,1,0,0,"Rotorua","NZ","March 18","1922"
"Percy Tetzlaff","NewZealand",1947,2,2,0,0,0,0,"Taupiri","NZ","July 14","1920"
"Neville Thornton","NewZealand",1947,3,2,1,0,0,3,"Otahuhu","NZ","December 12","1918"
"Jim Kearney","NewZealand",1947,4,1,3,0,1,9,"Naseby","NZ","April 4","1920"
"Tim Mason","NewZealand",1947,1,1,0,0,1,3,"Wellington","NZ","November 21","1923"
"Lester Harvey","NewZealand",1949,8,3,4,1,0,0,"Dunedin","NZ","April 14","1919"
"Sammy Henderson","NewZealand",1949,7,3,4,0,2,6,"Gisborne","NZ","April 18","1926"
"Jack McNab","NewZealand",1949,6,2,3,1,0,0,"Owaka","NZ","March 26","1924"
"Laurence Savage","NewZealand",1949,3,0,3,0,0,0,"Nelson","NZ","February 17","1928"
"Kevin Skinner","NewZealand",1949,20,12,7,1,1,3,"Dunedin","NZ","November 24","1927"
"Peter Johnstone","NewZealand",1949,9,6,2,1,1,3,"Mosgiel","NZ","August 9","1922"
"Bill Meates","NewZealand",1949,7,3,3,1,0,0,"Greymouth","NZ","May 26","1923"
"Vince Bevan","NewZealand",1949,6,3,2,1,0,0,"Wellington","NZ","December 24","1921"
"Kiwi Blake","NewZealand",1949,1,0,1,0,0,0,"Carterton","NZ","November 3","1922"
"Ron Bryers","NewZealand",1949,1,0,1,0,0,0,"Raetihi","NZ","November 14","1919"
"Ronald Dobson","NewZealand",1949,1,0,1,0,0,0,"Auckland","NZ","March 26","1923"
"Arthur Hughes","NewZealand",1949,6,3,2,1,0,0,"Invercargill","NZ","October 11","1924"
"Jack Kelly","NewZealand",1949,2,0,2,0,0,3,"Ashburton","NZ","December 7","1926"
"Bert Lunn","NewZealand",1949,2,0,2,0,0,0,"Alexandra","NZ","September 17","1926"
"Graham Moore","NewZealand",1949,1,0,1,0,1,3,"Wellington","NZ","March 18","1923"
"Bill Mumm","NewZealand",1949,1,0,1,0,0,0,"Mokihunui","NZ","March 26","1923"
"Rex Orr","NewZealand",1949,1,0,1,0,0,0,"Gore","NZ","June 19","1924"
"Bob Stuart","NewZealand",1949,7,3,4,0,1,3,"Dunedin","NZ","October 28","1920"
"Tiny White","NewZealand",1949,23,15,7,1,3,9,"Gisborne","NZ","June 11","1925"
"Hector Wilson","NewZealand",1949,5,4,1,0,1,3,"Beaumont","NZ","January 27","1924"
"Neville Black","NewZealand",1949,1,0,1,0,0,0,"Kawakawa","NZ","April 25","1925"
"Pat Crowley","NewZealand",1949,6,3,2,1,1,3,"Wanganui","NZ","October 20","1923"
"Desmond Christian","NewZealand",1949,1,0,1,0,0,0,"Auckland","NZ","September 9","1923"
"Red Delamore","NewZealand",1949,1,0,1,0,0,0,"Thames","NZ","April 3","1920"
"Jack Bond","NewZealand",1949,1,0,1,0,0,0,"Carterton","NZ","May 24","1920"
"Ray O'Callaghan","NewZealand",1949,1,0,1,0,0,3,"Wellington","NZ","January 19","1925"
"Des O'Donnell","NewZealand",1949,1,0,1,0,0,0,"Palmerston North","NZ","October 7","1921"
"Roy Roper","NewZealand",1949,5,3,1,1,3,9,"Owhango","NZ","August 11","1923"
"Harry Rowley","NewZealand",1949,1,0,1,0,0,0,"Cromwell","NZ","June 15","1924"
"George Beatty","NewZealand",1950,1,0,0,1,0,0,"New Plymouth","NZ","March 29","1925"
"Brownie Cherrington","NewZealand",1950,1,0,0,1,0,0,"Otira","NZ","March 5","1924"
"Laurie Haig","NewZealand",1950,9,8,1,0,1,5,"Prestonpans","SCO","October 18","1922"
"Graham Mexted","NewZealand",1950,1,1,0,0,0,0,"Greytown","NZ","February 3","1927"
"John Tanner","NewZealand",1950,5,4,1,0,1,3,"Auckland","NZ","January 11","1927"
"Snow Cockerill","NewZealand",1951,3,3,0,0,0,11,"Hawera","NZ","December 8","1928"
"Bob Duff","NewZealand",1951,11,8,3,0,0,0,"Lyttelton","NZ","August 5","1925"
"Percy Erceg","NewZealand",1951,4,3,1,0,0,0,"Waipapakauri","NZ","November 28","1928"
"Ronald Jarden","NewZealand",1951,16,11,5,0,7,42,"Lower Hutt","NZ","December 14","1929"
"Thomas Lynch","NewZealand",1951,3,3,0,0,2,9,"Naseby","NZ","July 20","1927"
"William McCaw","NewZealand",1951,5,3,2,0,0,0,"Gore","NZ","August 26","1927"
"Charles Robinson","NewZealand",1951,5,4,1,0,1,3,"Bluff","NZ","April 5","1927"
"Leo Steele","NewZealand",1951,3,3,0,0,0,0,"Wellington","NZ","January 19","1929"
"Norman Wilson","NewZealand",1951,3,3,0,0,1,3,"Masterton","NZ","December 13","1923"
"Raymond Bell","NewZealand",1951,3,2,1,0,1,6,"Dunedin","NZ","December 31","1925"
"Peter Eastgate","NewZealand",1952,3,2,1,0,0,0,"Nelson","NZ","July 10","1927"
"Allan Elsom","NewZealand",1952,6,3,3,0,0,3,"Christchurch","NZ","July 18","1925"
"Jim Fitzgerald","NewZealand",1952,1,0,1,0,1,3,"Petone","NZ","August 6","1928"
"John Hotop","NewZealand",1952,3,1,2,0,1,6,"Alexandra","NZ","December 7","1929"
"Ian Irvine","NewZealand",1952,1,0,1,0,0,0,"Carterton","NZ","March 6","1929"
"Hugh McLaren","NewZealand",1952,1,0,1,0,0,0,"Auckland","NZ","June 8","1926"
"Kevin Meates","NewZealand",1952,2,1,1,0,0,0,"Greymouth","NZ","February 20","1930"
"Ponty Reid","NewZealand",1952,5,4,1,0,0,0,"Te Kuiti","NZ","April 12","1929"
"Noel Bowden","NewZealand",1952,1,1,0,0,0,3,"Whangarei","NZ","March 19","1926"
"Mick Bremner","NewZealand",1952,2,1,1,0,0,0,"Otorohanga","NZ","August 2","1930"
"Keith Davis","NewZealand",1952,10,7,3,0,0,0,"Whakatane","NZ","May 21","1930"
"Ian Hammond","NewZealand",1952,1,1,0,0,0,0,"Blenheim","NZ","October 25","1925"
"Jack Skeen","NewZealand",1952,1,1,0,0,0,0,"Auckland","NZ","December 23","1928"
"Bill Clark","NewZealand",1953,9,7,2,0,3,9,"Motueka","NZ","November 16","1929"
"Ian Clarke","NewZealand",1953,24,19,4,1,0,0,"Kaponga","NZ","March 5","1931"
"Nelson Dalzell","NewZealand",1953,5,3,2,0,1,3,"Rotherham","NZ","March 26","1921"
"Brian Fitzpatrick","NewZealand",1953,3,1,2,0,0,0,"Opotiki","NZ","March 5","1931"
"Ron Hemi","NewZealand",1953,16,12,4,0,1,3,"Whangarei","NZ","May 15","1933"
"Richard Bowers","NewZealand",1954,2,1,1,0,0,0,"Rawhiti","NZ","November 5","1932"
"Morrie Dixon","NewZealand",1954,10,8,2,0,2,6,"Christchurch","NZ","February 6","1929"
"Colin Loader","NewZealand",1954,4,3,1,0,0,0,"Dannevirke","NZ","March 10","1931"
"Desmond Oliver","NewZealand",1954,2,1,1,0,0,0,"Palmerston North","NZ","October 26","1930"
"Snow White","NewZealand",1954,4,2,2,0,0,0,"Kawakawa","NZ","March 27","1929"
"Tiger Hilton-Jones","NewZealand",1954,11,9,2,0,2,6,"Kaitaia","NZ","March 24","1932"
"Douglas Wilson","NewZealand",1954,2,2,0,0,0,0,"Wanganui","NZ","January 30","1931"
"Robin Archer","NewZealand",1955,4,4,0,0,0,0,"Gore","NZ","September 19","1930"
"Peter Burke","NewZealand",1955,3,3,0,0,0,0,"Tauranga","NZ","September 22","1927"
"Mark Irwin","NewZealand",1955,7,4,3,0,0,0,"Gisborne","NZ","February 10","1935"
"Ross Smith","NewZealand",1955,1,1,0,0,0,0,"Ashburton","NZ","April 21","1929"
"Kevin Stuart","NewZealand",1955,1,1,0,0,0,0,"Dunedin","NZ","September 19","1928"
"Lindsay Townsend","NewZealand",1955,2,1,1,0,0,0,"Mataura","NZ","March 3","1934"
"Ivan Vodanovich","NewZealand",1955,3,2,1,0,1,3,"Wanganui","NZ","April 8","1930"
"Pat Walsh","NewZealand",1955,13,10,3,0,4,12,"Kaitaia","NZ","May 6","1936"
"Bill Gray","NewZealand",1955,6,4,2,0,0,0,"Te Puke","NZ","December 23","1932"
"Tom Katene","NewZealand",1955,1,1,0,0,0,0,"Okaiawa","NZ","August 14","1929"
"Ross Brown","NewZealand",1955,16,13,3,0,3,12,"New Plymouth","NZ","September 8","1934"
"John Buxton","NewZealand",1955,2,1,1,0,0,0,"Auckland","NZ","October 31","1933"
"Tiny Hill","NewZealand",1955,11,9,2,0,0,0,"New Plymouth","NZ","April 9","1927"
"Donald McIntosh","NewZealand",1956,4,3,1,0,0,0,"Lower Hutt","NZ","April 1","1931"
"Patrick Vincent","NewZealand",1956,2,1,1,0,0,0,"Wataroa","NZ","January 6","1926"
"Francis McAtamney","NewZealand",1956,1,0,1,0,0,0,"Middlemarch","NZ","May 15","1934"
"Ian MacEwan","NewZealand",1956,20,14,4,2,2,6,"Auckland","NZ","May 1","1934"
"Denis Young","NewZealand",1956,22,15,4,3,0,0,"Christchurch","NZ","April 1","1930"
"Don Clarke","NewZealand",1956,31,24,4,3,2,207,"Pihama","NZ","November 10","1933"
"Terry Lineen","NewZealand",1957,12,8,3,1,0,0,"Auckland","NZ","January 5","1936"
"Frank McMullen","NewZealand",1957,11,8,2,1,4,12,"Auckland","NZ","January 18","1933"
"Colin Meads","NewZealand",1957,55,41,10,4,7,21,"Cambridge","NZ","June 3","1936"
"Wilson Whineray","NewZealand",1957,32,24,5,3,2,6,"Auckland","NZ","July 10","1935"
"Mick Cossey","NewZealand",1958,1,1,0,0,0,0,"Papakura","NZ","January 21","1935"
"Thomas Coughlan","NewZealand",1958,1,1,0,0,0,0,"Mosgiel","NZ","April 9","1934"
"David Graham","NewZealand",1958,22,17,2,3,2,6,"Stratford","NZ","January 1","1935"
"David Ashby","NewZealand",1958,1,0,1,0,0,0,"Mataura","NZ","February 15","1931"
"Ernest Pickering","NewZealand",1958,3,1,2,0,0,0,"Te Kuiti","NZ","November 23","1936"
"James Watt","NewZealand",1958,9,5,3,1,1,3,"Dunedin","NZ","December 29","1935"
"Adrian Clarke","NewZealand",1958,3,1,2,0,0,0,"Christchurch","NZ","February 23","1938"
"William Gillespie","NewZealand",1958,1,1,0,0,0,0,"Cromwell","NZ","August 6","1934"
"Brian Finlay","NewZealand",1959,1,1,0,0,0,0,"Cromwell","NZ","November 7","1927"
"Bruce McPhail","NewZealand",1959,2,1,1,0,0,0,"Ashburton","NZ","January 26","1937"
"Spider Urbahn","NewZealand",1959,3,2,1,0,1,3,"Opunake","NZ","July 31","1934"
"Kevin Briscoe","NewZealand",1959,9,5,2,2,0,0,"New Plymouth","NZ","August 20","1936"
"Ralph Caulton","NewZealand",1959,16,11,4,1,8,24,"Wellington","NZ","January 10","1937"
"Dick Conway","NewZealand",1959,10,5,4,1,1,3,"Whakatane","NZ","April 22","1935"
"Tuppy Diack","NewZealand",1959,1,1,0,0,0,0,"Invercargill","NZ","July 22","1932"
"John McCullough","NewZealand",1959,3,2,1,0,0,0,"Stratford","NZ","January 8","1936"
"Kel Tremain","NewZealand",1959,38,30,5,3,9,27,"Auckland","NZ","February 21","1938"
"Desmond Webb","NewZealand",1959,1,1,0,0,0,0,"Kawakawa","NZ","September 9","1934"
"Terence O'Sullivan","NewZealand",1960,4,3,1,0,1,3,"New Plymouth","NZ","November 27","1936"
"Ronald Horsley","NewZealand",1960,3,1,1,1,0,0,"Wellington","NZ","July 4","1932"
"Kevin Laidlaw","NewZealand",1960,3,1,1,1,0,0,"Nightcaps","NZ","August 9","1934"
"Steven Nesbit","NewZealand",1960,2,1,0,1,0,0,"Auckland","NZ","February 13","1936"
