Opai Asher
John Spiers
Richard Wilson
Peter Sloane
Brett Codlin
Hika Reid
Mark Shaw
Wayne Smith
Tim Twigden
Nicky Allen
Lachlan Cameron
Geoffrey Hines
Graeme Higginson
Rod Ketels
Douglas Rollerson
Allan Hewson
Andy Jefferd
Haydn Rickit
Freddy Woodman
Greg Burgess
Geoff Old
Steve Pokere
Frank Shelford
Gary Whetton
Jamie Salmon
Arthur Stone
Paul Koteka
Ian Dunn
Jock Hobbs
Warwick Taylor
Albert Anderson
Gary Braid
Scott Crichton
Robbie Deans
Andy Donald
Brian McGrattan
Craig Green
Murray Davie
John Kirwan
Bruce Smith
Alan Whetton
Michael Clamp
Kieran Crowley
David Kirk
Murray Pierce
Grant Fox
Steve McDowall
Victor Simpson
Kevin Boroevich
Frano Botica
Mike Brewer
Mark Brooke-Cowden
Greg Cooper
Andy Earl
Sean Fitzpatrick
Brett Harvey
Gordon Macpherson
Joe Stanley
Terry Wright
Brent Anderson
Michael Speight
Marty Berry
John Drake
Buck Shelford
John Gallagher
Michael Jones
Richard Loe
Zinzan Brooke
Bernie McCahill
Bruce Deans
John Schuster
Graeme Bachop
Craig Innes
Ian Jones
Walter Little
Kevin Schuler
Paul Henderson
John Timu
Mark Carter
Jon Preston
Graham Purvis
Inga Tuigamala
Jason Hewett
Shayne Philpott
Frank Bunce
Mark Cooksley
Richard Turner
Arran Pene
Eroni Clarke
Jamie Joseph
Blair Larsen
Ant Strachan
Graham Dowd
Robin Brooke
Olo Brown
Matthew Cooper
Craig Dowd
Lee Stensness
Bull Allen
Marc Ellis
Stu Forster
Steve Gordon
Jeff Wilson
Jonah Lomu
Simon Mannix
Stephen Bachop
Shane Howarth
Alama Ieremia
Josh Kronfeld
Andrew Mehrtens
Glen Osborne
Norm Hewitt
Eric Rush
Simon Culhane
Liam Barry
Justin Marshall
Christian Cullen
Scott McLeod
Adrian Cashmore
Andrew Blowers
Glenn Taylor
Taine Randell
Tana Umaga
Anton Oliver
Charles Riechelmann
Junior Tonu'u
Carlos Spencer
Mark Mayerhofler
Todd Blackadder
Mark Robinson
Caleb Ralph
Carl Hoeft
Isitolo Maka
Joeli Vidiri
Scott Robertson
Royce Willis
Norm Berryman
Kees Meeuws
Xavier Rush
Tony Brown
Daryl Gibson
Norm Maxwell
Dylan Mika
Greg Feek
Byron Kelleher
Pita Alatini
Mark Hammett
Reuben Thorne
Rhys Duggan
Troy Flavell
Greg Somerville
Doug Howlett
Filo Tiatia
Ron Cribb
Leon MacDonald
Mark Robinson
Gordon Slater
Bruce Reihana
Jason O'Halloran
Marty Holah
Carl Hayman
Mark Ranby
Jerry Collins
Chris Jack
Richie McCaw
Aaron Mauger
Dave Hewett
Ben Blair
Dion Waller
Joe McDonnell
Simon Maling
Tom Willis
Sam Harding
Sam Broomhall
Steve Devine
Andrew Hore
Keith Lowen
Keith Robinson
Ali Williams
Danny Lee
Brad Mika
Dan Braid
Regan King
Keven Mealamu
Rodney So'oialo
Tony Woodcock
Paul Steinmetz
Ma'a Nonu
Joe Rokocoko
Mils Muliaina
Dan Carter
Brad Thorn
Corey Flynn
Ben Atiga
Jono Gibbes
Nick Evans
Sam Tuitupou
Craig Newby
Mose Tuiali'i
Rico Gear
Conrad Smith
Saimone Taumoepeau
Steven Bates
Jimmy Cowan
Casey Laulala
Piri Weepu
James Ryan
Sitiveni Sivivatu
Derren Witcombe
Sosene Anesi
Campbell Johnstone
Sione Lauaki
Luke McAlister
Kevin Senio
Chris Masoe
Neemia Tialata
Angus Macdonald
John Afoa
Jason Eaton
Isaia Toeava
Clarke Dermody
Greg Rawlinson
Jerome Kaino
David Hill
Scott Hamilton
Andy Ellis
Brendon Leonard
Ross Filipo
John Schwalger
Anthony Tuitavake
Adam Thomson
Anthony Boric
Stephen Donald
Richard Kahui
Rudi Wulf
Kevin O'Neill
Hosea Gear
Cory Jane
Jamie Mackintosh
Liam Messam
Kieran Read
Isaac Ross
Bryn Evans
Tanerau Latimer
Wyatt Crockett
