Henry Kayll,1878,Fullback,Sunderland,1,0,0,United Kingdom,England,North East England
George Thomson,1878,Forward,Yorks,9,6,1,Deutschland,10965,Berlin
George Vernon,1878,Forward,London,5,4,0,United Kingdom,England,Greater London
John Bell,1878,Halfback,Newcastle-uunder-Lym,1,1,0,g,n,i
Thomas Blatherwick,1878,Forward,Quebec,1,1,0,Canada,Québec,Missing
Jimmy Budd,1878,Forward,Bristol,5,3,1,United Kingdom,England,South West England
Ernest Dawson,1878,Forward,Charlottetown,1,1,0,Canada,Prince Edward Island,Queens County
Henry Enthoven,1878,Three-quarters,Liverpool,1,1,0,United Kingdom,England,North West England
Herbert Gardner,1878,Forward,Cawnpore,1,1,1,Australia,Queensland,Cawnpore
Allan Jackson,1878,Halfback,Spanish Town,Jamaica,Middlesex County,Saint Catherine
William Penny,1878,Fullback,Langport,3,2,1,United Kingdom,England,South West England
George Burton,1879,Forward,Wakefield,6,4,6,United Kingdom,England,Yorkshire and the Humber
Harry Huth,1879,Fullback,Huddersfield,1,0,0,United Kingdom,England,Yorkshire and the Humber
Norman McLeod,1879,Forward,Madras,2,1,0,India,600001,Tamil Nadu
Stuart Neame,1879,Forward,Preston FavershaKent,4,3,0,g,n,i
Hugh Rowley,1879,Forward,Chorlton-upon-Medloc,9,5,3,g,n,i
Henry Springmann,1879,Forward,W Derby,2,0,0,United Kingdom,England,North West England
Henry Taylor,1879,Halfback,Greenwich,5,3,6,United Kingdom,England,East of England
Harold Bateson,1879,Forward,Liverpool,1,1,0,United Kingdom,England,North West England
William Openshaw,1879,Halfback,Cape Town,1,1,0,South Africa,Western Cape,City of Cape Town
Henry Twynam,1879,Halfback,Hants,8,7,4,Canada,Nova Scotia,Hants County
Sidney Ellis,1880,Forward,Lewisham,1,1,1,United Kingdom,England,Greater London
Thomas Fry,1880,Fullback,Greenwich,3,3,1,United Kingdom,England,East of England
Charles Gurdon,1880,Forward,Norfolk,14,10,0,United Kingdom,England,East of England
Robert Hunt,1880,Three-quarters,Preston,4,2,2,United Kingdom,England,North West England
Barron Kilner,1880,Forward,Thornhill Leer,1,1,0,g,n,i
Ellis Markendale,1880,Forward,Salford,1,1,1,United Kingdom,England,North West England
John Schofield,1880,Forward,Stretford,1,1,0,United Kingdom,England,North West England
Ernie Woodhead,1880,Forward,Huddersfield,1,1,0,United Kingdom,England,Yorkshire and the Humber
Charles Coates,1880,Forward,Lambeth,3,1,0,United Kingdom,England,Greater London
Richard Finch,1880,Halfback,Kensington,1,1,0,United Kingdom,England,Greater London
Charles Phillips,1880,Forward,?,3,2,0,g,n,i
Charles Sawyer,1880,Three-quarters,Manchester,2,2,1,United Kingdom,England,North West England
Charles Fernandes,1881,Forward,Wakefield,3,2,1,United Kingdom,England,Yorkshire and the Humber
Walter Hewitt,1881,Forward,Kent,4,2,0,United Kingdom,England,South East
John Ravenscroft,1881,Forward,Wirral,1,1,0,Canada,New Brunswick,Queens County
Ryder Richardson,1881,Halfback,Chorlton,1,1,0,United Kingdom,England,North West England
James Ward,1881,Forward,Staines,2,1,0,United Kingdom,England,South East
