Country,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Canada,CAN,"International migrant stock, total",SM.POP.TOTL,2766304,..,..,..,..,3020552,..,..,..,..,3251353,..,..,..,..,3517845,..,..,..,..,3810578,..,..,..,..,3900558,..,..,..,..,4497521,..,..,..,..,5047093,..,..,..,..,5555019,..,..,..,..,6304024,..,..,..,..,7202340,..,..,..,..,..
Canada,CAN,"Population, total",SP.POP.TOTL,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21645535,21993631,22369408,22774087,23209000,23518000,23796000,24036000,24277000,24593000,24900000,25202000,25456000,25702000,25942000,26204000,26550000,26895000,27379000,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304,35540419,..
Ireland,IRL,International migrant stock (% of population),SM.POP.TOTL.ZS,2.581453723,..,..,..,..,3.280749314,..,..,..,..,4.409874038,..,..,..,..,5.374708031,..,..,..,..,6.541197843,..,..,..,..,6.367432976,..,..,..,..,6.487270538,..,..,..,..,7.306722574,..,..,..,..,10.11443892,..,..,..,..,14.84691751,..,..,..,..,19.70612841,..,..,..,..,..
Ireland,IRL,"International migrant stock, total",SM.POP.TOTL,73019,..,..,..,..,94397,..,..,..,..,130411,..,..,..,..,171429,..,..,..,..,223238,..,..,..,..,225285,..,..,..,..,227961,..,..,..,..,263688,..,..,..,..,384872,..,..,..,..,617619,..,..,..,..,898630,..,..,..,..,..
Ireland,IRL,"Population, total",SP.POP.TOTL,2828600,2824400,2836050,2852650,2866550,2877300,2888800,2902450,2915550,2932650,2957250,2992050,3036850,3085950,3137500,3189550,3238050,3282200,3329100,3373750,3412800,3453000,3485800,3510600,3532423,3538082,3539690,3540057,3524949,3511009,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4612719,..
Italy,ITA,International migrant stock (% of population),SM.POP.TOTL.ZS,0.915449694,..,..,..,..,1.208149316,..,..,..,..,1.602613065,..,..,..,..,1.815216143,..,..,..,..,1.964869226,..,..,..,..,2.213723302,..,..,..,..,2.518050312,..,..,..,..,3.031811297,..,..,..,..,3.726044002,..,..,..,..,5.29184631,..,..,..,..,7.529702247,..,..,..,..,..
Italy,ITA,"International migrant stock, total",SM.POP.TOTL,459553,..,..,..,..,629595,..,..,..,..,862556,..,..,..,..,1006374,..,..,..,..,1108852,..,..,..,..,1252814,..,..,..,..,1428219,..,..,..,..,1723412,..,..,..,..,2121688,..,..,..,..,3067656,..,..,..,..,4463413,..,..,..,..,..
Italy,ITA,"Population, total",SP.POP.TOTL,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,61336387,..
New Zealand,NZL,International migrant stock (% of population),SM.POP.TOTL.ZS,14.07618686,..,..,..,..,14.69125704,..,..,..,..,14.56740314,..,..,..,..,15.98576108,..,..,..,..,15.11111825,..,..,..,..,14.7837455,..,..,..,..,15.7123551,..,..,..,..,16.17651222,..,..,..,..,17.75931254,..,..,..,..,20.74455115,..,..,..,..,22.11303928,..,..,..,..,..
New Zealand,NZL,"International migrant stock, total",SM.POP.TOTL,333859,..,..,..,..,386145,..,..,..,..,409446,..,..,..,..,492857,..,..,..,..,470394,..,..,..,..,480043,..,..,..,..,523190,..,..,..,..,594228,..,..,..,..,685101,..,..,..,..,857559,..,..,..,..,962072,..,..,..,..,..
New Zealand,NZL,"Population, total",SP.POP.TOTL,2371800,2419700,2482000,2531800,2585400,2628400,2675900,2724100,2748100,2772800,2810700,2853000,2903900,2961300,3023700,3083100,3110500,3120200,3121200,3109000,3112900,3124900,3156100,3199300,3227100,3247100,3246300,3274400,3283400,3299200,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,..
