Joseph Atkinson,1882,Three-quarters,2,0,2,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Gerrard Bent,1882,Halfback,2,0,1,1,0,NA,Greenwich,United Kingdom,England,East of England,Suffolk
Arthur Downing,1882,Forward,1,0,1,0,0,NA,Monkstown?,Republic of Ireland,Leinster,County Dublin,Dún Laoghaire-Rathdown
William Fletcher,1882,Halfback,3,0,3,0,0,NA,?,g,n,i,s
Ernest Greene,1882,Three-quarters,4,0,4,0,1,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Frederick Heuston,1882,Forward,3,0,3,0,0,NA,Tipperary,Republic of Ireland,Munster,County Tipperary,Tipperary
John Kennedy,1882,Forward,2,0,2,0,0,NA,Co.Tipperar,United States of America,Texas,Waller County,Rolling Hills
Ted McCarthy,1882,Forward,1,0,1,0,0,NA,?,g,n,i,s
Thomas McCarthy,1882,Three-quarters,1,0,1,0,0,NA,Tipperary,Republic of Ireland,Munster,County Tipperary,Tipperary
Bob Thompson,1882,Forward,1,0,1,0,0,NA,?,g,n,i,s
Thomas Johnson-Smyth,1882,Forward,1,0,0,1,0,NA,?,g,n,i,s
Robert Nelson,1882,Forward,4,0,3,1,0,NA,?,g,n,i,s
Oliver Stokes,1882,Forward,2,0,1,1,1,NA,Kent,United Kingdom,England,South East,Kent
Edward Wolfe,1882,Three-quarters,1,0,0,1,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
John Buchanan,1882,Forward,3,0,3,0,0,NA,?,g,n,i,s
Robert Morrow,1882,Fullback,10,0,10,0,0,NA,?,g,n,i,s
Alexander O'Sullivan,1882,Forward,1,0,1,0,0,NA,Cork,Republic of Ireland,Munster,County Cork,Cork
Joe Pedlow,1882,Three-quarters,2,0,2,0,0,NA,?,g,n,i,s
Stewart Bruce,1883,Forward,3,0,3,0,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Henry King,1883,Forward,2,0,2,0,0,NA,London,United Kingdom,England,Greater London,London
Frank Moore,1883,Forward,4,0,4,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Rowland Scovell,1883,Three-quarters,2,0,2,0,0,NA,Kingstown,Saint Vincent and the Grenadines,Saint George,Kingstown,Missing
Peyton Warren,1883,Halfback,1,0,1,0,0,NA,?,g,n,i,s
Samuel Collier,1883,Halfback,1,0,1,0,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Henry Brabazon,1884,Forward,3,0,3,0,0,NA,nr Mullingar,g,n,i,s
