Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Gareth Rees,Canada,1986,55,31,24,0,491,7,BC,Canada
Ron van den Brink,Canada,1986,8,5,3,0,4,1,BC,Canada
Bruce Breen,Canada,1986,9,7,2,0,4,1,AB,Canada
Mark Cardinal,Canada,1986,35,19,16,0,14,3,BC,Canada
Norm Hadley,Canada,1987,15,8,7,0,0,0,MB,Canada
Mark Holmes,Canada,1987,1,1,0,0,0,0,,
Chris Tynan,Canada,1987,20,15,5,0,18,4,BC,Canada
Tony Arthurs,Canada,1988,1,0,1,0,0,0,,
Stuart Creagh,Canada,1988,1,0,1,0,0,0,,
Chris Fowler,Canada,1988,2,0,2,0,0,0,,
A.R. Heaman,Canada,1988,1,0,1,0,0,0,,
David Speirs,Canada,1988,5,2,3,0,0,0,ON,Canada
Shayne Brown,Canada,1989,2,1,1,0,4,1,,
John Graf,Canada,1989,54,29,25,0,89,9,BC,Canada
Bobby Ross,Canada,1989,58,30,28,0,419,7,BC,Canada
Paul Szabo,Canada,1989,9,5,4,0,0,0,New Westminster,Canada
Scott Stewart,Canada,1989,64,29,34,1,84,5,BC,Canada
Alan Charron,Canada,1990,76,40,36,0,44,9,ON,Canada
Dave Lougheed,Canada,1990,34,14,20,0,35,7,ON,Canada
Dan Jackart,Canada,1991,21,12,9,0,15,3,BC,Canada
Christian Stewart,Canada,1991,17,8,9,0,10,2,ON,Canada
Ian Gordon,Canada,1991,27,14,13,0,0,0,BC,Canada
Colin McKenzie,Canada,1992,25,14,11,0,10,2,BC,Canada
Scott MacKinnon,Canada,1992,4,3,1,0,5,1,ON,Canada
Jeff Knauer,Canada,1992,5,3,2,0,0,0,United States,USA
M. Williams,Canada,1992,3,1,2,0,0,0,,
Kevin Wirachowski,Canada,1992,19,12,7,0,15,3,BC,Canada
Julian Loveday,Canada,1993,10,5,5,0,5,1,,
John Hutchinson,Canada,1993,50,23,27,0,40,8,ON,Canada
Chris Whittaker,Canada,1993,16,9,7,0,5,1,BC,Canada
Ian Kennedy,Canada,1993,2,1,1,0,5,1,,
Ian MacKay,Canada,1993,2,1,1,0,0,0,BC,Canada
Ron Toews,Canada,1993,16,9,7,0,0,0,MB,Canada
Ian Cooper,Canada,1993,1,1,0,0,0,0,BC,Canada
Mike James,Canada,1994,56,26,29,1,20,4,BC,Canada
Winston Stanley,Canada,1994,66,27,38,1,123,24,BC,Canada
Paul LeBlanc,Canada,1994,4,2,2,0,0,0,QC,Canada
Kevin Whitley,Canada,1995,1,0,1,0,0,0,Bandar Seri Begawan,Brunei Darussalam
Jeff Grout,Canada,1995,1,1,0,0,0,0,,
Shawn Lytton,Canada,1995,9,6,3,0,5,1,Tokyo,Japan
Danny Nikas,Canada,1995,2,1,1,0,0,0,,
Courtney Smith,Canada,1995,21,10,11,0,40,8,Kingston,Jamaica
Alan Tynan,Canada,1995,5,2,3,0,10,2,BC,Canada
Gareth Rowlands,Canada,1995,6,1,5,0,0,0,Cardiff,United Kingdom
Rod Snow,Canada,1995,62,27,33,2,40,8,NL,India
Barry Ebl,Canada,1995,3,1,2,0,0,0,,
Chris Michaluk,Canada,1995,4,3,1,0,0,0,BC,Canada
David Penney,Canada,1995,7,2,5,0,0,0,NL,India
Nick Clapinson,Canada,1995,2,0,2,0,0,0,QC,Canada
Rob Card,Canada,1996,8,4,4,0,0,0,,
Jim Yeganegi,Canada,1996,2,1,1,0,0,0,,
Richard Bice,Canada,1996,22,10,12,0,0,0,BC,Canada
Jason Hall,Canada,1996,7,5,2,0,5,1,,
Tony Healy,Canada,1996,15,12,3,0,0,0,BC,Canada
Dennis Clarke,Canada,1996,1,0,1,0,0,0,QC,Canada
Jeff Tomlinson,Canada,1996,3,2,1,0,0,0,ON,Canada
Scott Bryan,Canada,1996,20,9,11,0,15,3,ON,Canada
Joe Haley,Canada,1996,1,1,0,0,0,0,BC,Canada
Scott Hendry,Canada,1996,3,2,1,0,5,1,Paisley,Scotland
Brian Mosychuck,Canada,1996,2,1,1,0,0,0,,
Kyle Nichols,Canada,1996,25,11,13,1,61,10,Scarborough,England
Mike Schmid,Canada,1996,24,12,12,0,10,2,New Westminster,Canada
Jason Penaluna,Canada,1996,1,1,0,0,5,1,MB,Canada
Brian McCarthy,Canada,1996,5,3,2,0,0,0,ON,Canada
John Tait,Canada,1997,37,14,22,1,5,1,ON,Canada
Adam Marshall,Canada,1997,2,1,1,0,0,0,ON,Canada
C. Smythe,Canada,1997,2,1,1,0,0,0,,
Kevin Morgan,Canada,1997,4,3,1,0,0,0,,
Colin Robertson,Canada,1997,7,7,0,0,15,3,,
Joe Pagano,Canada,1997,10,6,4,0,15,3,ON,Canada
Dan Baugh,Canada,1998,27,11,15,1,25,5,SK,Slovensko
Pat Dunkley,Canada,1998,38,14,23,1,15,3,Cardiff,United Kingdom
Harry Toews,Canada,1998,11,5,6,0,5,1,Alberta,Canada
Troy MacDonald,Canada,1998,1,0,1,0,0,0,,
Rob Robson,Canada,1998,3,0,3,0,0,0,BC,Canada
Nik Witkowski,Canada,1998,34,14,19,1,30,6,London,England
Jon Thiel,Canada,1998,44,14,28,2,20,4,BC,Canada
Jeremy Cordle,Canada,1998,6,2,4,0,5,1,Cardiff,United Kingdom
Roger Robinson,Canada,1998,1,1,0,0,0,0,,
Ryan Banks,Canada,1999,36,12,23,1,15,3,BC,Canada
Fred Asselin,Canada,1999,15,7,8,0,15,3,QC,Canada
Morgan Williams,Canada,1999,56,18,36,2,68,13,ON,Canada
Duane Major,Canada,1999,12,4,7,1,0,0,Christchurch,NewZealand
Jared Barker,Canada,2000,18,10,8,0,226,2,AB,Canada
Garth Cooke,Canada,2000,25,8,17,0,0,0,BC,Canada
Sean Fauth,Canada,2000,29,12,16,1,35,7,AL,USA
Ed Knaggs,Canada,2000,19,6,12,1,0,0,,
Phil Murphy,Canada,2000,20,7,12,1,25,5,NB,Canada
Kevin Tkachuk,Canada,2000,55,18,37,0,25,5,MB,Canada
Adam van Staveren,Canada,2000,20,8,12,0,0,0,ON,Canada
Mark Irvine,Canada,2000,8,3,4,1,0,0,,
Nick Milau,Canada,2000,2,1,1,0,0,0,,
Gregor Dixon,Canada,2000,10,3,6,1,0,0,,
Jason Verstraten,Canada,2000,3,1,2,0,5,1,,
John Cannon,Canada,2001,31,8,23,0,0,0,BC,Canada
Ed Fairhurst,Canada,2001,57,22,34,1,46,4,SK,Slovensko
Jeff Williams,Canada,2001,5,2,3,0,0,0,,
