Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Sanaila Sautu,Fiji,1957,Prop,5,4,1,0,0,0,,
Anare Secake,Fiji,1957,Flanker,3,2,1,0,0,0,,
Jone Tabaiwalu,Fiji,1957,Lock,11,6,4,1,6,2,,
Baniua Tanivukavu,Fiji,1957,Wing,1,1,0,0,0,0,,
Nat Uluiviti,Fiji,1957,Fullback,3,2,1,0,23,0,Natauloa,
Apenisa Kuruisaqila,Fiji,1957,Flanker,2,1,1,0,0,0,,
Peni Wadali,Fiji,1957,Flanker,1,1,0,0,0,0,,
Kaiava Bose,Fiji,1958,Fly-half,7,2,4,1,8,0,,
Ilaitia Ravouvou,Fiji,1958,Lock,4,2,2,0,0,0,,
Maika Ravula,Fiji,1958,Flanker,3,2,1,0,6,2,,
Inoke Tabualevu,Fiji,1958,Fullback,6,4,1,1,27,1,,
Eremasi Lovodua,Fiji,1958,Wing,11,6,4,1,36,8,,
Seru Tuisese,Fiji,1958,Fullback,8,5,3,0,3,0,,
Patimio Tatukivei,Fiji,1958,Flanker,1,0,1,0,3,1,,
Peni Rika,Fiji,1958,Scrum-half,2,1,1,0,0,0,,
Suliasi Cavu,Fiji,1958,Prop,13,8,5,0,6,2,,
Ulaiasi Radike,Fiji,1959,Wing,1,0,1,0,0,0,,
Sakiusa Tuva,Fiji,1959,Hooker,4,0,3,1,0,0,,
Eliki Gaunavou,Fiji,1961,Fullback,3,0,2,1,0,0,,
Sailosi Kepa,Fiji,1961,Flanker,1,0,1,0,0,0,,
Jone Nabou,Fiji,1961,Flanker,3,0,2,1,3,1,,
Joeli Naucabalavu,Fiji,1961,"Lock, No. 8",8,3,4,1,6,2,Kumi,Uganda
Simione Rarasea,Fiji,1961,Centre,1,0,1,0,0,0,,
Seteo Rasau,Fiji,1961,Prop,3,0,2,1,3,1,,
Nemesio Ratuveilawa,Fiji,1961,Scrum-half,6,5,1,0,13,3,,
Eparama Ravi,Fiji,1961,Centre,3,0,2,1,0,0,,
Josua Vadugu,Fiji,1961,Prop,2,0,1,1,0,0,,
Vereniki Nalio,Fiji,1961,Flanker,8,3,4,1,6,2,,
Sitiveni Tawase,Fiji,1961,Scrum-half,2,0,1,1,3,0,,
Epeli Rayawa,Fiji,1961,Prop,1,0,0,1,0,0,,
Epi Bolawaqatabu,Fiji,1963,Flanker,16,10,5,1,30,10,,
Vinaiya Buli,Fiji,1963,Centre,4,4,0,0,6,2,,
Suliasi Daunitutu,Fiji,1963,Wing,8,5,3,0,12,4,,
Jope Snr. Naucabalavu Snr.,Fiji,1963,Lock,19,12,5,2,12,4,,
Jone Raikuna,Fiji,1963,Fly-half,15,9,5,1,6,2,,
Petero Rasiosateki,Fiji,1963,Utility back,6,3,3,0,9,0,,
Jone Sokovata,Fiji,1963,Flanker,4,3,1,0,0,0,,
Ulaiasi Tukana,Fiji,1963,Hooker,7,4,3,0,0,0,Savu,Savu Sea
Epi Kunavore,Fiji,1963,Centre,2,2,0,0,6,2,,
Apisai Toga,Fiji,1963,Lock,3,3,0,0,9,3,,
Sevaro Walisoliso,Fiji,1963,Prop,7,4,2,1,9,3,,
Josateki Nasova,Fiji,1963,Utility back,10,6,3,1,10,0,,
Aca Soqosoqo,Fiji,1964,Lock,4,1,3,0,3,1,,
Apakuki Suluaqalo,Fiji,1964,Prop,1,0,1,0,0,0,,
George Barley,Fiji,1964,Fly-half,4,1,2,1,0,0,,
Aporosa Robe,Fiji,1964,Wing,3,1,2,0,6,2,,
Sela Toga,Fiji,1964,No. 8,12,8,3,1,21,7,,
Adriu Nadredre,Fiji,1964,Flanker,3,1,2,0,0,0,,
Suliasi Tolotu,Fiji,1964,Flanker,1,0,1,0,0,0,,
Samuela Vanini,Fiji,1964,Centre,1,0,1,0,0,0,,
Setareki Vola,Fiji,1964,Centre,1,1,0,0,0,0,,
Amenatave Gutugutuwai,Fiji,1967,Wing,4,2,2,0,3,1,,
Moritikei Nabuta,Fiji,1967,Prop,9,7,2,0,6,2,,
Kiniviliame Nalatu,Fiji,1967,Wing,6,1,3,2,3,1,,
Samu Naqelevuki,Fiji,1967,Fullback,12,6,4,2,12,4,,
Sakiasi Ose,Fiji,1967,Flanker,1,1,0,0,0,0,,
Nasivi Ravouvou,Fiji,1967,Lock,18,8,8,2,15,5,,
Setareki Tamanivalu,Fiji,1967,Flanker,3,2,0,1,0,0,,
Sakopo Vodivodi,Fiji,1967,Scrum-half,3,2,0,1,3,0,,
Vilaime Waka,Fiji,1967,Utility back,3,2,0,1,0,0,,
Apenisa Tukairavua,Fiji,1967,Lock,11,7,3,1,4,1,Naitasiri,Fiji
Maika Vakatawabai,Fiji,1967,Hooker,1,0,0,1,0,0,,
Asaeli Batibasaga,Fiji,1967,Wing,7,6,1,0,63,8,,
Waisea Tubu,Fiji,1967,Centre,1,1,0,0,0,0,,
Albert Eastgate,Fiji,1968,Centre,1,0,1,0,0,0,,
Suliasi Nacolai,Fiji,1968,Wing,6,3,3,0,18,6,,
Ropate Qalo,Fiji,1968,Centre,2,0,2,0,0,0,,
Lario Raitilava,Fiji,1968,Fullback,11,6,5,0,26,2,,
Timoci Tukaitabua,Fiji,1968,Flanker,5,3,2,0,3,1,,
Apisalome Turagacoko,Fiji,1968,Prop,3,0,3,0,3,1,,
Ilai Senivau,Fiji,1968,Prop,1,0,1,0,0,0,,
Meli Kurisaru,Fiji,1968,Flanker,14,9,4,1,13,4,,
Semesa Sacere,Fiji,1968,Scrum-half,1,0,1,0,0,0,,
Watile Tuinagiagia,Fiji,1968,Fullback,2,0,2,0,0,0,,
Isoa Volavola,Fiji,1968,Hooker,7,5,2,0,12,4,,
Peniasi Nasalo,Fiji,1968,Flanker,4,2,2,0,7,0,,
Jona Qoro Narisia,Fiji,1968,Prop,14,9,4,1,26,8,,
Pio Tikoisuva,Fiji,1968,Wing,19,11,7,1,22,4,,
Seru Naitau,Fiji,1968,Lock,2,2,0,0,3,1,,
Sefanaia Ratu,Fiji,1968,Wing,1,1,0,0,0,0,,
Senitiki Nasave,Fiji,1969,Centre,20,6,13,1,16,3,Nayawa,Fiji
George Sailosi,Fiji,1969,Wing,3,2,1,0,18,6,,
Semesa Sikivou,Fiji,1969,Scrum-half,7,3,3,1,59,3,,
Ilaitia Tuisese,Fiji,1969,"Lock, No. 8",17,8,8,1,17,5,,
Inia Namua,Fiji,1969,Centre,1,1,0,0,8,2,,
Atonio Racika,Fiji,1969,Hooker,30,13,16,1,19,5,,
Josateki Radrodro,Fiji,1970,Wing,3,1,1,1,3,1,,
Jo Sovau,Fiji,1970,Prop,11,3,7,1,9,2,,
Josaia Visei,Fiji,1970,Fullback,9,3,6,0,7,1,,
Isimeli Batibasaga,Fiji,1970,Scrum-half,13,7,6,0,65,1,,
Inoke Buadromo,Fiji,1970,Fullback,1,1,0,0,3,1,,
Ravuama Latilevu,Fiji,1970,Centre,7,3,4,0,11,3,,
Sitiveni Ligamamada Rabuka,Fiji,1970,Prop,2,2,0,0,0,0,,
Vuniani Varo,Fiji,1970,Wing,7,5,2,0,33,8,,
Jope Jnr. Naucabalavu Jnr.,Fiji,1972,Lock,12,4,8,0,4,1,,
Tevita Rabuli,Fiji,1972,Centre,9,2,7,0,4,1,,
Taito Rauluni,Fiji,1972,"Fullback, Scrum-half",3,1,2,0,0,0,,
Wame Gavidi,Fiji,1972,"Wing, Centre",20,7,13,0,14,3,,
Nimilote Ratudina,Fiji,1972,Prop,14,6,8,0,14,1,,
Aminiasi Naituyaga,Fiji,1972,Fullback,5,0,5,0,9,0,,
Rupeni Qaraniqio,Fiji,1972,Flanker,20,8,12,0,4,1,,
Dan Lobendhan,Fiji,1973,Fly-half,3,1,2,0,4,1,Rakiraki,Fiji
Rodney Samuels,Fiji,1973,Flanker,6,1,5,0,0,0,,
Joe Savou,Fiji,1973,Prop,1,0,1,0,0,0,,
Tevita Raulumi,Fiji,1973,Scrum-half,1,0,1,0,0,0,,
Peter Hughes,Fiji,1973,Prop,2,1,1,0,4,1,,
Enele Malele,Fiji,1973,No. 8,1,1,0,0,0,0,,
Emori Tudia,Fiji,1973,Centre,1,1,0,0,0,0,,
Luke Namadila,Fiji,1973,Centre,4,1,3,0,0,0,,
Seremaia Cavuilati,Fiji,1974,Wing,4,0,4,0,4,1,,
Vilikesa Mocelutu,Fiji,1974,No. 8,3,0,3,0,12,3,Toki,Japan
Watisoni Nasalo,Fiji,1974,Fly-half,3,0,3,0,0,0,,
Isikeli Tasere,Fiji,1974,Prop,4,0,4,0,0,0,,
Meli Masitabua,Fiji,1974,Fly-half,1,0,1,0,0,0,,
Ilikimi Batibasaga,Fiji,1974,Wing,1,0,1,0,0,0,,
Isikeli Cagilaba,Fiji,1974,No. 8,9,4,5,0,4,1,,
Ilisoni Taoba,Fiji,1974,Lock,19,10,9,0,4,1,,
Sefanaia Basiyalo,Fiji,1976,Wing,1,0,1,0,0,0,,
Tomasi Latianara,Fiji,1976,Wing,1,0,1,0,0,0,,
Ilai Nabobo,Fiji,1976,Lock,1,0,1,0,0,0,,
Eroni Puamau,Fiji,1976,Hooker,1,0,1,0,0,0,,
Tomu Ravualala,Fiji,1976,Fly-half,1,0,1,0,0,0,,
Matereti Sarasau,Fiji,1976,Prop,1,0,1,0,0,0,,
Nasoni Uluvula,Fiji,1976,Lock,18,5,12,1,12,3,,
Livai Volavola,Fiji,1976,"Wing, Centre",1,0,1,0,0,0,,
Luke Nabaro,Fiji,1976,Prop,1,0,1,0,0,0,,
Mosese Nailumu,Fiji,1976,Scrum-half,1,0,1,0,0,0,,
Qele Ratu,Fiji,1976,Centre,5,4,1,0,4,1,,
Peceli Kina,Fiji,1976,Prop,13,1,12,0,4,1,,
Isoa Makutu,Fiji,1976,Flanker,3,0,3,0,0,0,,
Viliame Ratudradra,Fiji,1976,No. 8,12,5,6,1,4,1,,
Josefa Rauto,Fiji,1976,"Prop, Hooker",21,10,10,1,50,4,,
Jolame Veidreyaki,Fiji,1976,Wing,1,0,1,0,0,0,,
Paula Waisake,Fiji,1976,Scrum-half,4,1,3,0,3,0,,
Eroni Matalau,Fiji,1976,Flanker,2,0,2,0,4,1,,
Samisoni Viriviri,Fiji,1976,"Fly-half, Scrum-half",24,10,13,1,12,1,,
Josaia Taqiri,Fiji,1976,Lock,1,0,1,0,0,0,,
Robert Howard,Fiji,1977,Wing,3,3,0,0,4,1,,
Joape Kuinikoro,Fiji,1977,Wing,11,6,5,0,36,9,,
Kemueli Musunamasi,Fiji,1977,Fullback,8,6,2,0,34,0,,
Vuata Narisia,Fiji,1977,Flanker,8,6,2,0,12,3,,
Rabici Ganilau,Fiji,1979,Lock,3,0,3,0,0,0,,
Taniela Nayate,Fiji,1979,Wing,3,0,3,0,4,1,,
Esala Labalaba,Fiji,1979,Fly-half,12,4,7,1,24,6,,
Pita Kewa Nacuva,Fiji,1979,Fullback,8,2,6,0,8,2,,
Ilami Lutumailagi,Fiji,1979,Flanker,8,3,5,0,20,5,,
Josua Rayawa,Fiji,1979,Lock,4,2,2,0,4,1,,
Kini Vosailagi,Fiji,1979,"Wing, Centre",11,4,7,0,0,0,,
Tevita Makutu,Fiji,1979,Wing,15,7,7,1,32,8,,
Simione Naiduki,Fiji,1979,Flanker,3,2,1,0,0,0,,
Joketani Ravouvou,Fiji,1979,Prop,8,2,6,0,0,0,,
Ilaitia Vai,Fiji,1979,Centre,1,0,1,0,0,0,,
Iokimi Finau,Fiji,1980,Flanker,18,6,12,0,12,3,,
Ilikimi Kunagogo,Fiji,1980,Lock,3,0,3,0,0,0,,
Sanivalati Laulau,Fiji,1980,Wing,32,15,16,1,80,20,,
Isimeli Radrodro,Fiji,1980,Fly-half,3,1,2,0,3,0,,
Eneri Ratudradra,Fiji,1980,Flanker,8,2,6,0,0,0,,
Tuimasi Tubananitu,Fiji,1980,Prop,19,11,7,1,16,4,,
Lemeki Vuetaki,Fiji,1980,Fullback,3,1,2,0,15,0,,
Vesivesi Bose,Fiji,1980,Utility back,1,0,1,0,0,0,,
Kameli Nayacalevu,Fiji,1980,Centre,15,8,6,1,20,5,,
Kata Ratumuri,Fiji,1980,Lock,3,2,1,0,4,1,,
Sunia Seru,Fiji,1980,Hooker,2,0,2,0,0,0,,
Vikikesa Vatuwaliwali,Fiji,1980,Flanker,16,7,8,1,0,0,,
Isimeli Cerelala,Fiji,1980,Lock,2,0,2,0,0,0,,
Jone Ratu,Fiji,1980,"Fullback, Wing, Fly-half",11,4,6,1,6,0,,
Navitalai Senilagakali,Fiji,1980,Fly-half,3,0,3,0,0,0,,
Sunia Nadruku,Fiji,1981,Back-row,15,9,5,1,12,3,,
Mosese Tamata,Fiji,1981,Hooker,8,5,3,0,4,1,,
Netava Tamaya,Fiji,1981,Fullback,1,1,0,0,3,0,,
Pio Tubui,Fiji,1981,Fly-half,2,2,0,0,0,0,,
Dominiko Manaseitava,Fiji,1981,Centre,5,4,1,0,12,3,,
Sani Tagivetaua,Fiji,1981,Wing,6,4,1,1,4,1,,
Emosi Tatawaqa,Fiji,1981,Flanker,8,4,3,1,0,0,,
Sakaraia Nacaka,Fiji,1981,Wing,4,1,3,0,0,0,,
Esala Teleni,Fiji,1982,No. 8,23,9,13,1,32,8,,
Sialeni Vuetaki,Fiji,1982,Prop,6,4,1,1,0,0,,
Sela Gutugutuwai,Fiji,1982,Flanker,12,7,5,0,12,3,,
Ilai Musunamasi,Fiji,1982,Fullback,4,2,2,0,22,0,,
Willie Rokowailoa,Fiji,1982,Fly-half,17,9,8,0,66,3,,
Peter Kean,Fiji,1982,Hooker,5,3,2,0,0,0,,
Rusiate Namoro,Fiji,1982,"Prop, Hooker",22,8,14,0,8,2,,
Waisale Natuna,Fiji,1982,Scrum-half,2,1,1,0,0,0,,
Lewis Politini,Fiji,1982,Lock,4,1,3,0,4,1,Suva,Fiji
Setareki Vero,Fiji,1982,Wing,5,1,4,0,8,2,,
Kaiava Salusalu,Fiji,1982,Centre,14,8,6,0,36,9,,
Severo Koroduadua Waqanibau,Fiji,1982,Fullback,27,10,16,1,268,0,Galoa,Niger
Isikeli Tikoduadua,Fiji,1982,Wing,3,0,3,0,0,0,,
Josevata Naikidi,Fiji,1982,Lock,1,0,1,0,0,0,,
Tiko Bucaonadi,Fiji,1983,Prop,2,1,1,0,0,0,,
Paula Nawalu,Fiji,1983,Scrum-half,17,6,11,0,7,1,,
Koli Rokoroi,Fiji,1983,"Lock, No. 8",21,10,11,0,8,2,,
Samu Yalayala,Fiji,1983,Wing,10,7,3,0,27,6,,
Dusilele Bola,Fiji,1983,Scrum-half,6,3,3,0,0,0,,
Acura Niuqila,Fiji,1983,Wing,18,9,9,0,36,9,Wainibokasi,Fiji
Sairusi Tabualevu,Fiji,1983,Hooker,1,0,1,0,0,0,,
Epali Rakai,Fiji,1983,Hooker,17,7,10,0,0,0,,
Sairusi Naituku,Fiji,1983,Prop,18,8,9,1,4,1,,
Emosi Katonitabua,Fiji,1984,Centre,6,3,3,0,0,0,,
Peni Rauluni,Fiji,1984,Centre,5,3,2,0,8,2,,
Epeli Turuva,Fiji,1984,Fullback,3,0,3,0,3,0,,
Ilaitia Savai,Fiji,1984,Lock,38,12,26,0,12,3,Nakalawaca,
Inoke Tabualevu,Fiji,1984,Fullback,2,1,1,0,5,0,,
Isikeli Leweniqila,Fiji,1984,Fly-half,1,0,1,0,2,0,,
Belasio Vukiwai,Fiji,1984,Hooker,1,0,1,0,0,0,,
Peceli Gale,Fiji,1984,No. 8,12,5,6,1,12,3,,
Solomoni Rasolea,Fiji,1984,Wing,5,2,3,0,4,1,,
Nemani Matirewa,Fiji,1984,Flanker,4,2,2,0,0,0,,
Tevita Tukunia,Fiji,1984,Fly-half,1,1,0,0,0,0,,
Manasa Saunaki,Fiji,1984,Fullback,1,0,1,0,0,0,,
Asaeli Hughes,Fiji,1985,Lock,7,3,4,0,0,0,,
Bruce Naulago,Fiji,1985,Prop,2,1,1,0,4,1,,
Rusiate Cavubulu,Fiji,1985,No. 8,4,2,2,0,4,1,,
Mosese Nabati,Fiji,1985,Wing,4,0,4,0,0,0,,
Jo Qoro,Fiji,1985,Flanker,1,0,1,0,0,0,,
Tomasi Cama,Fiji,1985,Centre,13,4,9,0,8,2,,
Semi Talawadua,Fiji,1985,Fly-half,1,0,1,0,4,1,,
Serupepeli Tuvula,Fiji,1985,Wing,7,1,6,0,8,2,,
Aliposo Waqaliti,Fiji,1985,Flanker,1,0,1,0,0,0,,
Jimi Damu,Fiji,1985,Wing,4,0,4,0,14,1,,
Peni Volavola,Fiji,1985,Prop,11,4,7,0,0,0,,
Jone Kubu,Fiji,1985,Fullback,11,4,7,0,6,0,,
Savenaca Aria,Fiji,1986,Centre,10,1,7,2,8,2,,
Alifereti Dere Ratu,Fiji,1986,Flanker,12,4,8,0,0,0,,
Sirilo Lovokuru,Fiji,1986,"Centre, Fly-half",4,2,2,0,24,1,,
Ifereimi Tawake,Fiji,1986,"Lock, Flanker",46,16,29,1,25,4,Sigatoka,Fiji
Saula Bueta,Fiji,1986,Flanker,1,0,1,0,0,0,,
Osea Koliloa,Fiji,1986,Flanker,3,2,1,0,4,1,,
Viliame Lilidamu,Fiji,1986,Wing,3,2,1,0,0,0,,
