Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Larry Wogan,Australia,1913,Centre,22,7,15,0,14,4,Hokitika,NewZealand
Sandy Horodan,Australia,1913,Prop,1,0,1,0,0,0,"Toowoomba, QLD",Australia
Bryan Hughes,Australia,1913,Flanker,2,1,1,0,4,0,"Sydney, NSW",Australia
Richard Simpson,Australia,1913,Fullback,1,0,1,0,4,0,"Sydney, NSW",Australia
David Williams,Australia,1913,Hooker,4,1,3,0,0,0,"Roma, QLD",Australia
Harald Baker,Australia,1914,Flanker,3,0,3,0,0,0,"Paddington, NSW",Australia
Jimmy Flynn,Australia,1914,Centre,2,0,2,0,0,0,"Brisbane, QLD",Australia
Eric Francis,Australia,1914,Wing,2,0,2,0,0,0,"Ipswich, QLD",Australia
John Thompson,Australia,1914,Flanker,1,0,1,0,0,0,"Warwick, QLD",Australia
Clinker Birt,Australia,1914,No. 8,1,0,1,0,0,0,Glasgow,Scotland
Samuel Kreutzer,Australia,1914,Prop,1,0,1,0,0,0,"Brisbane, QLD",Australia
William Morrissey,Australia,1914,Prop,1,0,1,0,0,0,"Brisbane, QLD",Australia
Jackie Beith,Australia,1914,Fullback,4,0,4,0,0,0,"Mudgee, NSW",Australia
Montague Massy-Westropp,Australia,1914,Wing,1,0,1,0,0,0,"Robertson, NSW",Australia
Clarrie Prentice,Australia,1914,Prop,1,0,1,0,0,0,"Sydney, NSW",Australia
John Bond,Australia,1920,Hooker,4,1,3,0,3,1,"Newcastle, NSW",Australia
Roy Chambers,Australia,1920,Centre,2,0,2,0,0,0,Dulwich,Australia
Tom Davis,Australia,1920,Prop,20,6,14,0,6,2,"Sydney, NSW",Australia
Viv Dunn,Australia,1920,No. 8,7,1,6,0,0,0,"Junee, NSW",Australia
Ray Elliott,Australia,1920,Flanker,13,7,6,0,0,0,"Sydney, NSW",Australia
Charlie Fox,Australia,1920,Lock,17,5,12,0,6,2,"Waverley, NSW",Australia
Tommy Lawton,Australia,1920,Fly-half,14,8,6,0,60,1,"Waterford, QLD",Australia
Bob Marrott,Australia,1920,Hooker,2,0,2,0,3,1,"Richmond, VIC",England
Arthur Mayne,Australia,1920,Wing,4,0,4,0,0,0,"Charters Towers, NSW",Australia
Irving Ormiston,Australia,1920,Flanker,3,0,3,0,0,0,"Cowra, NSW",Australia
Roland Raymond,Australia,1920,Wing,13,6,7,0,30,10,NA,Fiji
Clive Farquhar,Australia,1920,Centre,1,0,1,0,0,0,"Sydney, NSW",Australia
George McKay,Australia,1920,No. 8,6,1,5,0,9,3,"Balmain, NSW",Australia
Geoffrey Wyld,Australia,1920,Lock,1,0,1,0,0,0,"Balgowlah, NSW",Australia
Watty Friend,Australia,1920,Lock,10,5,5,0,0,0,"Burwood, NSW",Australia
Onslow Humphreys,Australia,1920,Fly-half,6,2,4,0,3,0,"Sydney, NSW",Australia
Norm Mingay,Australia,1920,Scrum-half,7,1,6,0,20,2,"Sydney, NSW",Australia
Jackie Shute,Australia,1920,Wing,3,1,2,0,6,2,"Sydney, NSW",Australia
Slip Carr,Australia,1921,Wing,4,1,3,0,9,3,"Burwood, NSW",Australia
Duncan Fowles,Australia,1921,Hooker,8,3,5,0,0,0,"Brisbane, QLD",Australia
John Holdsworth,Australia,1921,Lock,6,1,5,0,3,1,"Sydney, NSW",Australia
Reg Lane,Australia,1921,Wing,1,0,1,0,0,0,"Paddington, NSW",Australia
Otto Nothling,Australia,1921,Fullback,19,8,11,0,36,1,"Teutoburg, QLD",Australia
Billy Sheehan,Australia,1921,Fly-half,18,7,11,0,18,6,"Singleton, NSW",Australia
Tom Smith,Australia,1921,Prop,12,4,8,0,3,1,"Sydney, NSW",Australia
Joe Thorn,Australia,1921,Flanker,6,1,5,0,0,0,Manly NSW,Australia
Derby Loudon,Australia,1921,Flanker,4,2,2,0,5,0,Leeston,NewZealand
Bot Stanley,Australia,1921,Centre,14,7,7,0,53,5,"Bathurst, NSW",England
Johnny Wallace,Australia,1921,Wing,17,11,6,0,48,16,"Machsville, NSW",Australia
Jock Blackwood,Australia,1922,Hooker,21,8,13,0,0,0,"Mona Vale, NSW",Australia
John Taylor,Australia,1922,Fly-half,2,1,1,0,15,2,"Whitwood Mere, Castleford, Yorkshire",England
Charlie Thompson,Australia,1922,Prop,6,2,4,0,0,0,"Sydney, NSW",Australia
Roy Cooney,Australia,1922,Centre,1,1,0,0,3,1,N Sydney,Australia
Reg Ferguson,Australia,1922,Lock,5,2,3,0,0,0,"Sydney, NSW",Australia
Henry Pigott,Australia,1922,NA,1,0,1,0,0,0,"Blayney, NSW",Australia
Jack Bonner,Australia,1922,Lock,8,6,2,0,0,0,"Annandale, NSW",Australia
Larry Newman,Australia,1922,Wing,1,0,1,0,3,1,"Sydney, NSW",Australia
Ted Thorn,Australia,1922,Flanker,15,4,11,0,5,1,"Manly, NSW",Australia
Bill Marrott,Australia,1922,No. 8,7,5,2,0,6,2,"St Kilda, VIC",Australia
Norm Smith,Australia,1922,Wing,7,3,4,0,6,2,"Sydney, NSW",Australia
Bill Douglas,Australia,1922,NA,1,1,0,0,0,0,"Sydney, NSW",Australia
Arthur Erby,Australia,1923,Prop,5,2,3,0,0,0,"Sydney, NSW",Australia
Gregor George,Australia,1923,Fly-half,12,3,9,0,2,0,"Sydney, NSW",Australia
John Pym,Australia,1923,Wing,1,1,0,0,0,0,"Sydney, NSW",Australia
Harry Tancred,Australia,1923,No. 8,2,2,0,0,0,0,"Balmain, NSW",Australia
Owen Crossman,Australia,1923,Wing,15,7,8,0,29,7,"Glen Innes, NSW",Australia
Allen Bowers,Australia,1923,Wing,7,4,3,0,12,4,"Darlinghurst, NSW",SouthAfrica
Peter Buchanan,Australia,1923,Centre,2,2,0,0,0,0,Wellington,NewZealand
Ted Greatorex,Australia,1923,Flanker,8,3,5,0,15,5,Leichardt,Australia
Alexander Armstrong,Australia,1923,No. 8,2,0,2,0,0,0,"Warren, NSW",Australia
Danie Erasmus,Australia,1923,Wing,2,0,2,0,3,1,Pretoria,SouthAfrica
Hugh Taylor,Australia,1923,Lock,4,0,4,0,0,0,"Narrabri, NSW",Australia
Hugh Buntine,Australia,1923,Centre,2,0,2,0,0,0,"Port Macquarie, NSW",Australia
Bob Loudon,Australia,1923,Flanker,13,4,8,1,12,4,Leeston,NewZealand
John Crakanthorp,Australia,1923,Fullback,1,0,1,0,0,0,"Bathurst, NSW",England
Wally Meagher,Australia,1923,Scrum-half,8,3,5,0,3,0,"Sydney, NSW",Australia
Roy Hoskins,Australia,1924,No. 8,3,1,2,0,0,0,"Petersham, NSW",Australia
Ernie Ritchie,Australia,1924,Prop,4,1,3,0,0,0,"Merewether, NSW",Australia
Jim Foote,Australia,1924,Wing,3,0,3,0,0,0,"Ipswich, QLD",Australia
Robert Anderson,Australia,1925,Centre,1,0,1,0,0,0,"Temora, NSW",Australia
Harry Bryant,Australia,1925,No. 8,3,0,3,0,0,0,"Sydney, NSW",Australia
John Hill,Australia,1925,Prop,1,0,1,0,0,0,,
