Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Ottorino Bettarello,Italy,1958,Scrum-half,3,1,2,0,0,0,Rovigo,Italia
Enzo Bellinazzo,Italy,1958,Wing,14,6,7,1,3,1,RO,România
Gastone Biadene,Italy,1958,Centre,2,1,1,0,0,0,,
Massimo Braga,Italy,1958,Scrum-half,1,1,0,0,0,0,Brescia,Italia
Antonio di Zitti,Italy,1958,Flanker,22,12,9,1,25,0,AQ,Antarctica
Paolo Quintavalla,Italy,1958,Lock,1,1,0,0,0,0,Parma,Italia
Pietro Sguario,Italy,1958,Wing,6,3,3,0,3,1,Abbazia Fiume,Hrvatska
Lucio Avigo,Italy,1959,Hooker,11,4,6,1,0,0,Brescia,Italia
Roberto Luise III,Italy,1959,Centre,15,5,9,1,3,1,Padova,Italia
Roberto Martini,Italy,1959,Fly-half,10,5,5,0,31,0,AR,Argentina
Zefferino Rossi,Italy,1959,No. 8,6,2,4,0,0,0,TV,Italy
Alfio Angioli,Italy,1960,Prop,8,3,5,0,3,1,Palermo,Italia
Gian Maria del Bono,Italy,1960,Wing,10,4,6,0,3,1,Brescia,Italia
Elio Fusco,Italy,1960,Scrum-half,11,3,8,0,6,2,Napoli,Italia
Basilio Rovelli,Italy,1960,Hooker,4,2,2,0,0,0,BG,Bulgaria
Franco Zani,Italy,1960,Lock,11,3,7,1,0,0,BS,The Bahamas
Angelo Autore,Italy,1961,Fullback,12,8,3,1,13,1,AQ,Antarctica
Erasmo Augeri,Italy,1962,Fly-half,4,1,3,0,3,1,Napoli,Italia
Giorgio Troncon,Italy,1962,Centre,12,5,6,1,3,1,Padova,Italia
Vittorio Ambron,Italy,1962,Wing,24,13,9,2,42,10,Benevento,Italia
Giorgio Ricciarelli,Italy,1962,Lock,1,1,0,0,0,0,Milano,Italia
Marco Bollesan,Italy,1963,No. 8,47,19,25,3,24,7,VE,Italy
Giancarlo Degli Antoni,Italy,1963,Flanker,6,1,4,1,3,1,,
Franco Piccinini,Italy,1963,Lock,3,1,2,0,0,0,Milano,Italia
Giuseppe Martini,Italy,1965,Centre,3,1,2,0,0,0,AR,Argentina
Ivo Mazzucchelli,Italy,1965,Lock,20,10,7,3,8,2,Roma,Italia
Gianni Romagnoli,Italy,1965,Prop,4,2,2,0,0,0,Roma,Italia
Carlo Salmaso,Italy,1965,Wing,2,0,2,0,3,1,,
Domenico Armellin,Italy,1965,Prop,9,7,1,1,3,1,Treviso,Italia
Umberto Conforto,Italy,1965,Scrum-half,17,10,6,1,6,2,Novara,Italia
Ettore Giugovaz,Italy,1965,Fullback,2,1,1,0,0,0,Venezia,Italia
Franco Mazzantini,Italy,1965,Prop,3,1,2,0,0,0,LI,Liechtenstein
Romano Sciacol,Italy,1965,Centre,1,1,0,0,0,0,Livorno,Italia
Francesco Soro II,Italy,1965,Fly-half,4,2,1,1,0,0,Milano,Italia
Eugenio Speziali,Italy,1965,Lock,1,1,0,0,2,0,Roma,Italia
Andrea d'Alberton,Italy,1966,Centre,5,1,3,1,0,0,,
Oreste Vene',Italy,1966,Hooker,1,0,1,0,0,0,Parma,Italia
Gastone Giani,Italy,1966,Centre,5,2,2,1,0,0,Bologna,Italia
Luciano Modonesi,Italy,1966,Fullback,17,10,5,2,6,2,Brescia,Italia
Loreto Cucchiarelli,Italy,1966,Flanker,2,1,1,0,0,0,RI,USA
Carlo Prosperini,Italy,1966,Prop,4,2,2,0,3,1,L'Aquila,Italia
Franco Gargiulo,Italy,1967,Lock,4,2,2,0,0,0,Roma,Italia
Adriano Agujari,Italy,1967,Wing,1,1,0,0,0,0,,
Luciano Bosciano,Italy,1967,Scrum-half,1,1,0,0,0,0,Napoli,Italia
Franco Cioni,Italy,1967,Flanker,10,8,2,0,9,3,Roma,Italia
Mauro Gatto,Italy,1967,Centre,2,1,1,0,0,0,Roma,Italia
Giampiero Ricci,Italy,1967,Fly-half,5,4,1,0,3,0,L'Aquila,Italia
Uriele Silvestri,Italy,1967,Hooker,4,3,1,0,0,0,Roma,Italia
Dalmazio Bertoli,Italy,1967,Lock,1,0,1,0,0,0,,
Maurizio Bocconcelli,Italy,1967,Prop,1,0,1,0,0,0,Roma,Italia
Mauro Mattei,Italy,1967,Wing,1,0,1,0,0,0,Firenze,Italia
Roberto Cinelli,Italy,1968,Flanker,2,2,0,0,0,0,FR,France
Massimo Gini,Italy,1968,Prop,17,10,6,1,3,1,Roma,Italia
