Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
James Keller,USA,1992,2,1,1,0,0,0,,
Ramon Samaniego,USA,1992,1,1,0,0,0,0,,
Rich Schurfield,USA,1992,5,2,3,0,14,3,,
Mark Gale,USA,1992,1,0,1,0,9,0,,
Greg Goodman,USA,1992,1,0,1,0,0,0,,
Brannen Smoot,USA,1992,1,0,1,0,0,0,,
David Steinbauer,USA,1992,2,0,2,0,0,0,,
B. Tofaeono,USA,1992,1,0,1,0,0,0,,
Mike Waterman,USA,1992,1,0,1,0,0,0,,
Vaea Anitoni,USA,1990,47,14,33,0,130,26,,
Mark Vandermolen,USA,1992,1,0,1,0,0,0,,
Andre Bachelet,USA,1993,33,11,22,0,56,7,,
Tom Billups,USA,1993,44,14,30,0,10,2,United States,USA
Chris Campbell,USA,1993,5,1,4,0,5,1,,
Wayne Chai,USA,1993,1,0,1,0,0,0,,
Brian Geraghty,USA,1993,1,0,1,0,0,0,,
Tim Petersen,USA,1993,1,0,1,0,0,0,,
Chris Schlereth,USA,1993,3,1,2,0,0,0,,
Maika Sika,USA,1993,17,6,11,0,5,1,,
Rob Randell,USA,1993,12,3,9,0,0,0,,
Mark Scharrenberg,USA,1993,39,15,24,0,40,8,,
Ed Schram,USA,1993,7,2,5,0,5,1,,
Richard Tardits,USA,1993,24,8,16,0,10,2,,
Steve Hiatt,USA,1993,3,0,3,0,0,0,,
Rob Lumkong,USA,1994,29,9,20,0,20,4,Trinidad,Trinidad
Tomasi Takau,USA,1994,25,6,19,0,30,6,,
Scott Bracken,USA,1994,2,1,1,0,0,0,,
Ray Green,USA,1994,11,4,7,0,5,1,,
Dan Lyle,USA,1994,45,17,28,0,30,6,United States,USA
Matt Alexander,USA,1995,24,11,13,0,286,5,,
Mike Fabling,USA,1995,1,1,0,0,0,0,,
Aaron Freeman,USA,1995,2,1,1,0,0,0,,
Jon Holtzman,USA,1995,4,2,2,0,0,0,United States,USA
Ray Lehner,USA,1995,37,15,22,0,0,0,United States,USA
Joe Santos,USA,1995,4,2,2,0,0,0,,
Pat Malloy,USA,1995,1,1,0,0,0,0,,
Malakai Delai,USA,1996,15,5,10,0,15,3,,
Luke Gross,USA,1996,62,21,41,0,0,0,United States,USA
Joe Rissone,USA,1996,5,2,3,0,0,0,,
Jason Walker,USA,1996,25,8,17,0,20,4,,
Cliff Vogl,USA,1996,12,4,8,0,0,0,Karlsruhe,Germany
Alec Parker,USA,1996,58,23,35,0,5,1,United States,USA
Sean Allen,USA,1996,7,2,5,0,0,0,United States,USA
Tim Kluempers,USA,1996,5,1,4,0,0,0,,
Lenny Sanft,USA,1996,1,0,1,0,0,0,,
Jared Hopkins,USA,1996,1,1,0,0,0,0,,
Bill LeClerc,USA,1996,12,7,5,0,15,3,Whangarei,NewZealand
Juan Grobler,USA,1996,33,10,23,0,35,7,,
Bob Lockrem,USA,1996,2,1,1,0,0,0,,
Kevin Dalzell,USA,1996,42,15,27,0,109,8,Durban,SouthAfrica
Dave Hodges,USA,1996,53,17,36,0,20,4,United States,USA
Brian Hightower,USA,1997,17,6,11,0,40,8,United States,USA
Chris Morrow,USA,1997,12,3,9,0,7,0,,
Tini Saulala,USA,1997,20,6,14,0,30,6,Vava'u,Tonga
Mike Stanaway,USA,1997,6,1,5,0,0,0,,
Chip Curtis,USA,1997,5,1,4,0,0,0,United States,USA
Kurt Shuman,USA,1997,29,8,21,0,15,3,United States,USA
Mika McLeod,USA,1997,4,2,2,0,0,0,United States,USA
Dan Kennedy,USA,1997,5,3,2,0,15,3,,
Scott Yungling,USA,1997,2,1,1,0,0,0,,
David Care,USA,1998,3,2,1,0,0,0,United States,USA
John McBride,USA,1998,11,5,6,0,0,0,United States,USA
Andre Blom,USA,1998,13,5,8,0,29,5,George,SouthAfrica
Jason Raven,USA,1998,2,0,2,0,0,0,,
Bart Furrow,USA,1998,4,0,4,0,0,0,,
C.D. Labounty,USA,1998,2,0,2,0,0,0,United States,USA
Tasi Mo'unga,USA,1998,20,4,16,0,10,2,Ha'asini,Tonga
Shaun Paga,USA,1998,15,4,11,0,15,3,,
George Sucher,USA,1998,15,4,11,0,5,1,United States,USA
Malakai Tabuvuya,USA,1998,1,0,1,0,0,0,,
Britt Howard,USA,1998,4,0,4,0,0,0,,
Doug Gillies,USA,1998,2,1,1,0,0,0,NSW,Australia
Kirk Khasigian,USA,1998,37,12,25,0,15,3,United States,USA
Bob LeClerc,USA,1998,2,1,1,0,0,0,Whangarei,NewZealand
Ian Stevens,USA,1998,1,0,1,0,4,0,,
Philippe Farner,USA,1999,18,7,11,0,5,1,Dar-es-Salaam,Tanzania
David Niu,USA,1999,8,3,5,0,8,1,NSW,Australia
Joe Clayton,USA,1999,11,3,8,0,5,1,,
Marc l'Huillier,USA,1999,2,0,2,0,0,0,,
Jesse Coulson,USA,1999,1,0,1,0,0,0,Auckland,NewZealand
Eric Reed,USA,1999,7,1,6,0,0,0,,
Phillip Eloff,USA,2000,35,15,20,0,50,10,Thabazimbi,SouthAfrica
Matt Kane,USA,2000,7,2,5,0,0,0,United States,USA
Kort Schubert,USA,2000,49,16,33,0,20,4,United States,USA
Grant Wells,USA,2000,12,3,9,0,100,0,Christchurch,NewZealand
Don Younger,USA,2000,4,2,2,0,0,0,,
Tom Kelleher,USA,2000,5,2,3,0,0,0,,
John Burke,USA,2000,2,1,1,0,0,0,,
Robbie Flynn,USA,2000,9,2,7,0,5,1,,
Link Wilfley,USA,2000,20,7,13,0,63,3,United States,USA
Olo Fifita,USA,2000,17,2,15,0,5,1,,
Mike MacDonald,USA,2000,67,21,46,0,30,6,United States,USA
Roger Grant,USA,2000,1,0,1,0,0,0,United States,USA
Jason Gillam,USA,2000,1,0,1,0,0,0,,
Mose Timoteo,USA,2000,32,10,22,0,15,3,Pago Pago,USA
Jovesa Naivalu,USA,2000,10,2,8,0,20,4,,
Paul Still,USA,2000,7,1,6,0,0,0,United States,USA
Jason Keyter,USA,2000,17,5,12,0,13,2,Port Elizabeth,SouthAfrica
Alex Magleby,USA,2000,4,1,3,0,0,0,United States,USA
John Buchholz,USA,2001,9,2,7,0,0,0,United States,USA
Kimball Kjar,USA,2001,19,4,15,0,10,2,United States,USA
Jone Naqica,USA,2001,8,2,6,0,10,2,Suva,Fiji
Dan Dorsey,USA,2001,24,10,14,0,5,1,United States,USA
Brian Surgener,USA,2001,12,3,9,0,0,0,,
Mike Hercus,USA,2002,48,19,29,0,465,9,United States,USA
Aaron Satchwell,USA,2002,2,1,1,0,0,0,,
Dan Anderson,USA,2002,1,0,1,0,0,0,,
Conrad Hodgson,USA,2002,11,6,5,0,10,2,,
Andy McGarry,USA,2002,2,1,1,0,0,0,United States,USA
John Tarpoff,USA,2002,12,5,7,0,0,0,United States,USA
