Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Polutele Tuihalamaka,Tonga,1972,Lock,14.0,3.0,11.0,0.0,4.0,1.0,,
Fatai Kefu,Tonga,1972,Fullback,6.0,1.0,5.0,0.0,0.0,0.0,,
Eukaliti Hehepoto,Tonga,1972,Hooker,5.0,2.0,3.0,0.0,4.0,1.0,,
Tevita Bloomfield,Tonga,1973,Prop,5.0,2.0,3.0,0.0,0.0,0.0,,
Ha'unga Fonua,Tonga,1973,Scrum-half,7.0,3.0,4.0,0.0,4.0,1.0,,
F. Hufanga,Tonga,1973,Lock,1.0,1.0,0.0,0.0,0.0,0.0,,
Valita Ma'ake,Tonga,1973,Fullback,17.0,6.0,11.0,0.0,47.0,0.0,,
Siope Matapule,Tonga,1973,Wing,2.0,1.0,1.0,0.0,0.0,0.0,,
Fakahau Valu,Tonga,1973,Flanker,25.0,7.0,18.0,0.0,24.0,6.0,,
Sione Foliaki,Tonga,1973,Fly-half,3.0,1.0,2.0,0.0,0.0,0.0,,
Pasifiki Tonga,Tonga,1973,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Fa'aleo Tupi,Tonga,1973,Lock,8.0,2.0,6.0,0.0,4.0,1.0,,
'Isikeli Vave,Tonga,1973,Wing,5.0,2.0,3.0,0.0,16.0,4.0,,
Tuli Kaho,Tonga,1973,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Ualeni Pahulu,Tonga,1973,Prop,3.0,1.0,2.0,0.0,0.0,0.0,,
Sitafooti 'Aho,Tonga,1974,Centre,3.0,1.0,2.0,0.0,4.0,1.0,,
Saia Fifita,Tonga,1974,Prop,4.0,1.0,3.0,0.0,12.0,3.0,,
Talilotu Ngaluafe,Tonga,1974,Wing,5.0,1.0,4.0,0.0,16.0,4.0,,
Tevita Pulumufita,Tonga,1974,Hooker,3.0,1.0,2.0,0.0,0.0,0.0,,
Saimone Vaea,Tonga,1974,Flanker,6.0,1.0,5.0,0.0,8.0,2.0,,
Peni Kaihau,Tonga,1975,Scrum-half,4.0,0.0,4.0,0.0,0.0,0.0,,
Sosaia Makalo,Tonga,1975,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Hala Maka'ohi,Tonga,1975,Fly-half,8.0,3.0,5.0,0.0,0.0,0.0,,
Vainga Fakatulolo,Tonga,1975,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Sateki Tupou,Tonga,1975,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Alele Vaihu,Tonga,1975,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Niuselau Tofa Fakauho,Tonga,1977,Wing,3.0,0.0,3.0,0.0,0.0,0.0,,
Mana Hafoka,Tonga,1977,Lock,4.0,1.0,3.0,0.0,0.0,0.0,,
Pangia Katoa,Tonga,1977,Hooker,10.0,3.0,7.0,0.0,0.0,0.0,,
Peni Kiole,Tonga,1977,Prop,7.0,2.0,5.0,0.0,5.0,0.0,,
"Pasuka Mapakaitolo,Snr",Tonga,1977,No. 8,2.0,0.0,2.0,0.0,0.0,0.0,,
Viliami Moala'eua,Tonga,1977,Centre,9.0,4.0,5.0,0.0,4.0,1.0,,
Mosese Tu'ipulotu,Tonga,1977,Wing,3.0,0.0,3.0,0.0,4.0,1.0,,
Viliami Tu'ipulotu,Tonga,1977,No. 8,6.0,1.0,5.0,0.0,6.0,1.0,,
Folafala Vuna,Tonga,1977,Prop,6.0,1.0,5.0,0.0,0.0,0.0,,
Nunu Vahe,Tonga,1977,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Sitani Hala'ufia,Tonga,1977,Flanker,5.0,1.0,4.0,0.0,0.0,0.0,,
Sione Alatini,Tonga,1977,Fly-half,3.0,0.0,3.0,0.0,0.0,0.0,,
Satisi Vunipola,Tonga,1977,Scrum-half,4.0,0.0,4.0,0.0,0.0,0.0,,
Molitoni Finau,Tonga,1979,Centre,5.0,3.0,2.0,0.0,8.0,2.0,,
Rocky Fotu,Tonga,1979,Wing,4.0,1.0,3.0,0.0,13.0,2.0,,
Siai Liava'a,Tonga,1979,Lock,4.0,1.0,3.0,0.0,0.0,0.0,,
Peseti Ma'afu,Tonga,1979,Scrum-half,10.0,4.0,6.0,0.0,4.0,1.0,,
Tui'pulotu Viliame,Tonga,1979,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Ofa Hiko,Tonga,1979,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Alamoni Liava'a,Tonga,1979,Centre,14.0,4.0,10.0,0.0,31.0,3.0,,
Prince Mailefihi,Tonga,1979,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Nofomuli Taumoefolau,Tonga,1979,Wing,18.0,4.0,13.0,1.0,20.0,5.0,,
Tui'pulotu Maka,Tonga,1979,Wing,3.0,2.0,1.0,0.0,4.0,1.0,,
M. Malu,Tonga,1979,Flanker,1.0,1.0,0.0,0.0,0.0,0.0,,
Malakai Pulumu,Tonga,1979,Flanker,6.0,4.0,2.0,0.0,0.0,0.0,,
Puniani Tu'ipulotu,Tonga,1979,Hooker,2.0,2.0,0.0,0.0,7.0,0.0,,
Mailefihi Tuku'aho,Tonga,1979,Lock,4.0,3.0,1.0,0.0,0.0,0.0,Nuku'alofa,Tonga
Soane Hola,Tonga,1979,Lock,1.0,1.0,0.0,0.0,0.0,0.0,,
Talanoa Kitekei'aho,Tonga,1979,Centre,4.0,1.0,3.0,0.0,0.0,0.0,,
Kulikefu Lomu,Tonga,1979,Centre,1.0,1.0,0.0,0.0,0.0,0.0,,
Soakai Motu'apuaka,Tonga,1979,Prop,3.0,2.0,1.0,0.0,0.0,0.0,,
Semisi Faleafa,Tonga,1980,Centre,1.0,1.0,0.0,0.0,0.0,0.0,,
Fou Ma'afu,Tonga,1980,Wing,9.0,3.0,5.0,1.0,12.0,3.0,,
Fili Moala,Tonga,1980,Hooker,12.0,5.0,7.0,0.0,4.0,1.0,,
Sione Vai,Tonga,1980,Centre,1.0,1.0,0.0,0.0,4.0,1.0,,
Sweet Leilani Fekau,Tonga,1981,Centre,5.0,1.0,4.0,0.0,0.0,0.0,,
Poseisei Havili,Tonga,1981,Flanker,3.0,1.0,2.0,0.0,0.0,0.0,,
Viliami Lutua,Tonga,1981,Prop,7.0,1.0,5.0,1.0,0.0,0.0,,
Sitini Mahe,Tonga,1981,Lock,3.0,1.0,2.0,0.0,0.0,0.0,,
Paea Moala,Tonga,1981,Wing,3.0,1.0,2.0,0.0,4.0,1.0,,
