['Joeli Susu', '1948', 'Hooker', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Sailosi Valewai', '1948', 'Prop', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Ilaitia Vuivuda', '1948', 'Fullback', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Atunaisa Camaibau', '1948', 'Lock', '2', '1', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Kalivati Cavuilati', '1948', 'Wing', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Macanawai Cevalawa', '1948', 'Lock', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jone Ravu', '1948', 'Fly-half', '5', '2', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Alipate Doviverata', '1948', 'Wing', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Semisi Baleca', '1951', 'Lock', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['George Cavalevu', '1951', 'Centre', '8', '4', '4', '0', '4', '12', 'date unknown', 'g', 'n', 'i']
['Sunia Ganilau', '1951', 'Centre', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Waisake Kunavula', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Penaia Lese', '1951', 'Fullback', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Josefa Levula', '1951', 'Wing', '17', '8', '8', '1', '8', '32', 'date unknown', 'g', 'n', 'i']
['Isimeli Radrodro', '1951', 'No. 8', '5', '4', '1', '0', '0', '6', 'date unknown', 'g', 'n', 'i']
['Semisi Ralagi', '1951', 'Prop', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Wame Salabogi', '1951', 'Fly-half', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Maikeli Tuvoli', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Suliasi Vatubua', '1951', 'Scrum-half', '10', '5', '5', '0', '0', '16', 'date unknown', 'g', 'n', 'i']
['Rusiate Vuruya', '1951', 'No. 8', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Savenaca Pe', '1951', 'Prop', '5', '3', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Peni Tove', '1951', 'Prop', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Semesa Seruvatu', '1952', 'Lock', '7', '3', '4', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Isikeli Cawa', '1952', 'Lock', '3', '3', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Samuela Domoni', '1952', 'Centre', '3', '2', '1', '0', '1', '3', '1968', '\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f', '\xd0\xa1\xd0\x9a\xd0\xa4\xd0\x9e', '\xd0\x9a\xd0\xb0\xd1\x80\xd0\xb0\xd1\x87\xd0\xb0\xd0\xb5\xd0\xb2\xd0\xbe-\xd0\xa7\xd0\xb5\xd1\x80\xd0\xba\xd0\xb5\xd1\x81\xd0\xb8\xd1\x8f']
['Navitalai Taga', '1952', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Mesake Biumaiwai', '1954', 'Centre', '4', '1', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Aminisitai Burogolevu', '1954', 'Wing', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Gabirieli Naborisi', '1954', 'Flanker', '1', '0', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Apenisa Nawalu', '1954', 'Prop', '4', '1', '3', '0', '0', '3', 'date unknown', 'g', 'n', 'i']
['Josefa Saukuru', '1954', 'Hooker', '15', '10', '5', '0', '2', '19', 'date unknown', 'g', 'n', 'i']
['Orisi Dawai', '1954', 'Wing', '12', '6', '5', '1', '5', '15', 'date unknown', 'g', 'n', 'i']
['Tomasi Naidole', '1954', 'Wing', '7', '5', '2', '0', '0', '4', 'Malomalo', 'g', 'n', 'i']
['Ratulevu Silatolu', '1954', '', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ravuama Vunakece', '1954', 'Prop', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Senitiki Naurisau', '1954', 'Hooker', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Aseri Kunawave', '1957', 'Centre', '6', '4', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jese Mucunabitu', '1957', 'Scrum-half', '9', '4', '5', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Nacanieli Nabaro', '1957', 'Flanker', '7', '2', '4', '1', '3', '9', 'date unknown', 'g', 'n', 'i']
['Mikaele Naikovu', '1957', 'Hooker', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Paula Nayacakalou', '1957', 'No. 8', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sanaila Sautu', '1957', 'Prop', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Anare Secake', '1957', 'Flanker', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jone Tabaiwalu', '1957', 'Lock', '11', '6', '4', '1', '2', '6', 'date unknown', 'g', 'n', 'i']
['Baniua Tanivukavu', '1957', 'Wing', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Nat Uluiviti', '1957', 'Fullback', '3', '2', '1', '0', '0', '23', 'Natauloa', 'g', 'n', 'i']
['Apenisa Kuruisaqila', '1957', 'Flanker', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Peni Wadali', '1957', 'Flanker', '1', '1', '0', '0', '0', '0', 'circa 1932', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Kaiava Bose', '1958', 'Fly-half', '7', '2', '4', '1', '0', '8', 'date unknown', 'g', 'n', 'i']
['Ilaitia Ravouvou', '1958', 'Lock', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Maika Ravula', '1958', 'Flanker', '3', '2', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Inoke Tabualevu', '1958', 'Fullback', '6', '4', '1', '1', '1', '27', 'circa 1936', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Eremasi Lovodua', '1958', 'Wing', '11', '6', '4', '1', '8', '36', 'date unknown', 'g', 'n', 'i']
['Seru Tuisese', '1958', 'Fullback', '8', '5', '3', '0', '0', '3', 'date unknown', 'g', 'n', 'i']
['Patimio Tatukivei', '1958', 'Flanker', '1', '0', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Peni Rika', '1958', 'Scrum-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Suliasi Cavu', '1958', 'Prop', '13', '8', '5', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Ulaiasi Radike', '1959', 'Wing', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sakiusa Tuva', '1959', 'Hooker', '4', '0', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Eliki Gaunavou', '1961', 'Fullback', '3', '0', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sailosi Kepa', '1961', 'Flanker', '1', '0', '1', '0', '0', '0', 'circa 1938', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Jone Nabou', '1961', 'Flanker', '3', '0', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Joeli Naucabalavu', '1961', 'Lock, No. 8', '8', '3', '4', '1', '2', '6', 'Kumi', 'Uganda', 'Eastern Region', 'Teso']
['Simione Rarasea', '1961', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Seteo Rasau', '1961', 'Prop', '3', '0', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Nemesio Ratuveilawa', '1961', 'Scrum-half', '6', '5', '1', '0', '3', '13', 'date unknown', 'g', 'n', 'i']
['Eparama Ravi', '1961', 'Centre', '3', '0', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Josua Vadugu', '1961', 'Prop', '2', '0', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Vereniki Nalio', '1961', 'Flanker', '8', '3', '4', '1', '2', '6', 'date unknown', 'g', 'n', 'i']
['Sitiveni Tawase', '1961', 'Scrum-half', '2', '0', '1', '1', '0', '3', 'date unknown', 'g', 'n', 'i']
['Epeli Rayawa', '1961', 'Prop', '1', '0', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Epi Bolawaqatabu', '1963', 'Flanker', '16', '10', '5', '1', '10', '30', 'date unknown', 'g', 'n', 'i']
['Vinaiya Buli', '1963', 'Centre', '4', '4', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Suliasi Daunitutu', '1963', 'Wing', '8', '5', '3', '0', '4', '12', 'date unknown', 'g', 'n', 'i']
['Jope Snr. Naucabalavu Snr.', '1963', 'Lock', '19', '12', '5', '2', '4', '12', 'date unknown', 'g', 'n', 'i']
['Jone Raikuna', '1963', 'Fly-half', '15', '9', '5', '1', '2', '6', 'date unknown', 'g', 'n', 'i']
['Petero Rasiosateki', '1963', 'Utility back', '6', '3', '3', '0', '0', '9', 'date unknown', 'g', 'n', 'i']
['Jone Sokovata', '1963', 'Flanker', '4', '3', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ulaiasi Tukana', '1963', 'Hooker', '7', '4', '3', '0', '0', '0', 'Savu', 'Savu Sea', 'Missing', 'Missing']
['Epi Kunavore', '1963', 'Centre', '2', '2', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Apisai Toga', '1963', 'Lock', '3', '3', '0', '0', '3', '9', 'date unknown', 'g', 'n', 'i']
['Sevaro Walisoliso', '1963', 'Prop', '7', '4', '2', '1', '3', '9', 'date unknown', 'g', 'n', 'i']
['Josateki Nasova', '1963', 'Utility back', '10', '6', '3', '1', '0', '10', 'date unknown', 'g', 'n', 'i']
['Aca Soqosoqo', '1964', 'Lock', '4', '1', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Apakuki Suluaqalo', '1964', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['George Barley', '1964', 'Fly-half', '4', '1', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Aporosa Robe', '1964', 'Wing', '3', '1', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Sela Toga', '1964', 'No. 8', '12', '8', '3', '1', '7', '21', 'date unknown', 'g', 'n', 'i']
['Adriu Nadredre', '1964', 'Flanker', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Suliasi Tolotu', '1964', 'Flanker', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Samuela Vanini', '1964', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Setareki Vola', '1964', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Amenatave Gutugutuwai', '1967', 'Wing', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Moritikei Nabuta', '1967', 'Prop', '9', '7', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Kiniviliame Nalatu', '1967', 'Wing', '6', '1', '3', '2', '1', '3', 'date unknown', 'g', 'n', 'i']
['Samu Naqelevuki', '1967', 'Fullback', '12', '6', '4', '2', '4', '12', 'circa 1944', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Sakiasi Ose', '1967', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Nasivi Ravouvou', '1967', 'Lock', '18', '8', '8', '2', '5', '15', 'circa 1945', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Setareki Tamanivalu', '1967', 'Flanker', '3', '2', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sakopo Vodivodi', '1967', 'Scrum-half', '3', '2', '0', '1', '0', '3', 'date unknown', 'g', 'n', 'i']
['Vilaime Waka', '1967', 'Utility back', '3', '2', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Apenisa Tukairavua', '1967', 'Lock', '11', '7', '3', '1', '1', '4', 'Naitasiri', 'Viti', 'Central', 'Suva']
['Maika Vakatawabai', '1967', 'Hooker', '1', '0', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Asaeli Batibasaga', '1967', 'Wing', '7', '6', '1', '0', '8', '63', 'date unknown', 'g', 'n', 'i']
['Waisea Tubu', '1967', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Albert Eastgate', '1968', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Suliasi Nacolai', '1968', 'Wing', '6', '3', '3', '0', '6', '18', 'date unknown', 'g', 'n', 'i']
['Ropate Qalo', '1968', 'Centre', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Lario Raitilava', '1968', 'Fullback', '11', '6', '5', '0', '2', '26', 'date unknown', 'g', 'n', 'i']
['Timoci Tukaitabua', '1968', 'Flanker', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Apisalome Turagacoko', '1968', 'Prop', '3', '0', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Ilai Senivau', '1968', 'Prop', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Meli Kurisaru', '1968', 'Flanker', '14', '9', '4', '1', '4', '13', 'date unknown', 'g', 'n', 'i']
['Semesa Sacere', '1968', 'Scrum-half', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Watile Tuinagiagia', '1968', 'Fullback', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Isoa Volavola', '1968', 'Hooker', '7', '5', '2', '0', '4', '12', 'date unknown', 'g', 'n', 'i']
['Peniasi Nasalo', '1968', 'Flanker', '4', '2', '2', '0', '0', '7', 'date unknown', 'g', 'n', 'i']
['Jona Qoro Narisia', '1968', 'Prop', '14', '9', '4', '1', '8', '26', 'date unknown', 'g', 'n', 'i']
