David Samuel,1891,Forward,2,2,0,0,1,1,Swansea,United Kingdom,Wales,West Glamorgan
John Samuel,1891,Forward,1,1,0,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Arthur Boucher,1892,Forward,13,5,8,0,1,3,Salop,United Kingdom,England,West Midlands
Frank Mills,1892,Forward,13,5,8,0,0,0,Mountain Ash,United Kingdom,CF45,Wales
Percy Phillips,1892,Fly-half,6,4,2,0,0,0,Machen,United Kingdom,Wales,Caerphilly
George Rowles,1892,Halfback,1,0,1,0,0,0,Pontypool,United Kingdom,NP4,Wales
Wallace Watts,1892,Forward,12,5,7,0,0,0,Chipping Sodbury,United Kingdom,BS37,England
Conway Rees,1892,Centre,3,1,2,0,0,0,Llandovery,United Kingdom,Wales,Carmarthenshire
Harry Day,1892,Forward,5,3,2,0,0,0,Newport,United Kingdom,NP,Wales
Bert Gould,1892,Centre,3,2,1,0,2,4,Newport,United Kingdom,NP,Wales
Frederick Nicholls,1892,Wing,1,0,1,0,0,0,Paddington,United Kingdom,England,Greater London
Fred Parfitt,1893,Scrum-half,9,5,4,0,1,3,Pontnewydd,United Kingdom,NP44,Wales
Dai Fitzgerald,1894,Centre,2,1,1,0,1,7,Cardiff,United Kingdom,Wales,Cardiff
William Thomas,1894,Wing,3,2,1,0,0,0,Brecknock,United Kingdom,N7 9LN,England
Jack Elliot,1894,Scrum-half,3,1,2,0,0,0,S Shields,United Kingdom,England,North East England
Fred Hutchinson,1894,Forward,3,1,2,0,0,0,Maesteg,United Kingdom,Wales,Bridgend
David Nicholl,1894,Forward,1,0,1,0,0,0,Llanegwad,United Kingdom,Wales,Carmarthenshire
Owen Badger,1895,Centre,4,1,3,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
Selwyn Biggs,1895,Fly-half,9,4,5,0,0,0,Cardiff,United Kingdom,Wales,Cardiff
Ben Davies,1895,Halfback,2,0,2,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
William Elsey,1895,Forward,1,0,1,0,1,3,Lambeth,United Kingdom,England,Greater London
Tom Jackson,1895,Forward,1,0,1,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Ernie George,1895,Forward,3,1,2,0,0,0,Llantwit Major,United Kingdom,CF61,Wales
Evan Lloyd,1895,Wing,1,0,1,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
Tom Pook,1895,Forward,1,0,1,0,0,0,Plymouth,United Kingdom,England,South West England
Albert Jenkin,1895,Forward,2,1,1,0,0,0,Hants,Canada,Nova Scotia,Hants County
Dai Morgan,1895,Fly-half,2,1,1,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
Cliff Bowen,1896,Wing,4,2,2,0,1,3,Morriston,United Kingdom,Wales,Swansea
Bert Dauncey,1896,Wing,3,1,2,0,0,0,Pontypool,United Kingdom,NP4,Wales
Sam Ramsay,1896,Forward,2,0,1,1,0,0,Cumbernauld,United Kingdom,Scotland,North Lanarkshire
William Cope,1896,Forward,1,1,0,0,0,0,Roath,United Kingdom,Wales,Cardiff
Barry Davies,1896,Forward,1,1,0,0,0,0,date unknown,g,n,i
David Evans,1896,Forward,4,2,2,0,0,0,Maenclochog,United Kingdom,Wales,Pembrokeshire
Jack Evans,1896,Forward,3,2,1,0,0,0,Ammanford,United Kingdom,Wales,Carmarthenshire
Bill Morris,1896,Forward,3,2,1,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
Gwyn Nicholls,1896,Centre,28,19,8,1,5,19,Westbury-on-Severn,United Kingdom,GL14 1,England
Llewellyn Lloyd,1896,Fly-half,12,7,5,0,3,9,Newport,United Kingdom,NP,Wales
Fred Miller,1896,Forward,7,5,2,0,0,0,Derby,United Kingdom,England,East Midlands
Fred Cornish,1897,Forward,4,2,2,0,0,0,Somerse,United Kingdom,GL14,England
Dick Hellings,1897,Forward,9,5,4,0,1,3,Tiverton,United Kingdom,England,South West England
Dan Jones,1897,Halfback,1,1,0,0,1,3,Taibach,United Kingdom,Wales,Neath Port Talbot
Jack Rapps,1897,Forward,1,1,0,0,0,0,Llantrisant,United Kingdom,Wales,Rhondda Cynon Taf
Billy Alexander,1898,Forward,7,3,4,0,2,6,Glynneath,United Kingdom,CF37 1SY,Wales
Joe Booth,1898,Forward,1,1,0,0,0,0,Blaenavon,United Kingdom,NP4,Wales
George Boots,1898,Forward,16,11,4,1,1,3,Aberbeeg,United Kingdom,NP13 1,Wales
Hopkin Davies,1898,Lock,4,2,2,0,0,0,Clydach,United Kingdom,Wales,Monmouthshire
Tom Dobson,1898,Forward,4,2,2,0,1,3,Caithness,United Kingdom,Scotland,Highland
Viv Huzzey,1898,Wing,5,2,3,0,4,16,Varteg Hill,United Kingdom,Wales,Powys
Pussy Jones,1898,Centre,2,1,1,0,0,0,?,g,n,i
Jere Blake,1899,Forward,9,6,3,0,0,0,Cardiff,United Kingdom,Wales,Cardiff
Alfred Brice,1899,Forward,18,12,5,1,2,8,Somerset,United Kingdom,England,South West England
Jehoida Hodges,1899,Forward,23,17,5,1,6,18,Risca,United Kingdom,NP11,Wales
Willie Llewellyn,1899,Wing,24,18,5,1,20,60,Tonypandy,United Kingdom,Wales,Rhondda Cynon Taf
Will Parker,1899,Forward,2,1,1,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Fred Scrine,1899,Forward,3,2,1,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Reg Skrimshire,1899,Centre,6,1,3,2,1,3,Crickhowell,United Kingdom,Wales,Powys
George Davies,1900,Centre,9,8,1,0,1,11,?,g,n,i
Louis Phillips,1900,Scrum-half,4,3,1,0,0,0,Newport,United Kingdom,NP,Wales
Dan Rees,1900,Centre,5,4,1,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Robert Thomas,1900,Forward,4,4,0,0,0,0,?,g,n,i
Billy Trew,1900,Centre,29,25,4,0,11,39,Swansea,United Kingdom,Wales,West Glamorgan
Buller Williams,1900,Forward,4,4,0,0,2,6,Pontlottyn,United Kingdom,NP22,Wales
George Dobson,1900,Forward,1,1,0,0,0,0,Pontypridd,United Kingdom,CF37; CF38,Wales
