Adolphe Jaureguy,1920,Wing,31,8,22,1,14,42,Ostabat,France,64120,France métropolitaine
Joseph Laurent,1920,Flanker,3,0,3,0,0,0,Bayonne,France,64100,France métropolitaine
Robert Marchand,1920,No. 8,2,0,2,0,0,0,Angouleme,France,16000,France métropolitaine
Pierre Pons,1920,"Hooker, Prop",6,1,4,1,0,0,Llupia,France,66300,France métropolitaine
Louis Puech,1920,Lock,5,2,3,0,0,0,Gorses,France,46210,France métropolitaine
Paul Serre,1920,Wing,2,0,2,0,0,0,Clairac,France,47320,France métropolitaine
Robert Thierry,1920,"Lock, Flanker",4,1,3,0,0,0,Brienon-sur-Armencon,g,n,i
Theophile Cambre,1920,Fullback,4,2,2,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Abel Guichemerre,1920,Flanker,4,1,3,0,0,0,Dax,France,40100,France métropolitaine
Jean Lavigne,1920,Centre,2,0,2,0,0,0,Levignacq,France,40170,France métropolitaine
Eugene Soulie,1920,"Lock, Prop",9,4,4,1,0,0,Paris,France,France métropolitaine,Île-de-France
Maurice Biraben,1920,Prop,10,4,4,2,0,0,Dax,France,40100,France métropolitaine
Georges Constant,1920,Flanker,1,0,1,0,0,0,Perpignan,France,66000;66100,France métropolitaine
Francois Borde,1920,Centre,12,4,7,1,1,3,Lourdes,France,65100,France métropolitaine
William Gayraud-Hirigoyen,1920,Hooker,1,1,0,0,1,3,Laroque-Timbaut,France,47340,France métropolitaine
Raoul Got,1920,Wing,13,4,7,2,6,18,Perpignan,France,66000;66100,France métropolitaine
Jean Larrieu,1920,"Hooker, Flanker",7,3,4,0,0,0,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Pierre Moureu,1920,"No. 8, Prop, Lock",17,5,11,1,2,6,Larrau,France,64560,France métropolitaine
Jean Boubee,1921,Back-row,9,3,5,1,1,3,Biarritz,France,64200,France métropolitaine
Jean Clement,1921,"Fullback, Fly-half, Halfback",10,2,6,2,0,0,Tarbes,France,65000,France métropolitaine
Gilbert Coscolla,1921,"Lock, Prop",2,1,1,0,0,0,Beziers,France,34500,France métropolitaine
