Name,Country,City,Team,OtherName
Mark Mapletoft,England,"Mansfield, Nottinghamshire",England,
Joe Worsley,England,"Redbridge, London",England,
Lewis Moody,England,"Ascot, Berkshire",England,
Nick Duncombe,England,"Taplow, Berkshire",England,
Robert Munro,Scotland,"Dull, Perthshire",Scotland,
Jim Pollock,Scotland,Wallsend,Scotland,
John Jeffrey,Scotland,Kelso,Scotland,
Rob Wainwright,Scotland,Perth,Scotland,
Scott Nichol,Scotland,Selkirk,Scotland,
Nathan Hines,Australia,Wagga Wagga,Scotland,
Roland Reid,SouthAfrica,Middleberg,Scotland,
Graeme Morrison,HongKong,Hong Kong,Scotland,
Sam Pinder,NewZealand,Taupo,Scotland,
John Barclay,HongKong,Hong Kong,Scotland,
Tim Visser,Netherlands,Zeewolde,Scotland,
Gordon Reid,Scotland,Irvine,Scotland,
Kurt McQuilkin,NewZealand,Te Kuiti,Ireland,
Malcolm O'Kelly,England,"Chelmsford, Essex",Ireland,
Jamie Heaslip,Israel,Tiberias,Ireland,
Ronald Bridie,SouthAfrica,Cape of Good Hope,Wales,
Clive Rees,Singapore,Singapore,Wales,
Stuart Russell,Kenya,Kenya,Wales,
Mickey Davies,SouthAfrica,South Africa,Wales,
Noa Nakaitaci,Fiji,Lautoka,France,
Yannick Nyanga Kabasele,Zaire,Kinshasa,France,
Aurelien Rougerie,France,"Beaumont, Puy-De-Dome",France,
Pieter de Villiers,SouthAfrica,Malmesbury,France,
Jimmy Marlu,France,Martinique,France,
Laurent Verge,France,,France,
Abdelatif Benazzi,Morocco,Oujda,France,
Jean Condom,France,Saint-Andre-de-Seignanx,France,
Lood de Jager,SouthAfrica,Alberton,SouthAfrica,
Jaco Taute,SouthAfrica,Springs,SouthAfrica,
Tiaan Liebenberg,SouthAfrica,Kimberley,SouthAfrica,
Werner Kruger,SouthAfrica,Kempton Park,SouthAfrica,
Jean Deysel,SouthAfrica,Virginia,SouthAfrica,
Hanyani Shimange,SouthAfrica,"Elim, Western Cape",SouthAfrica,
Henno Mentz,SouthAfrica,"Ermelo, Mpumalanga",SouthAfrica,
Richard Bands,SouthAfrica,Mafikeng,SouthAfrica,
Breyton Paulse,SouthAfrica,Koue Bokkeveld,SouthAfrica,
McNeil Hendricks,SouthAfrica,"Malmesbury, Western Cape",SouthAfrica,
Heinrich Fuls,SouthAfrica,Hoopstad,SouthAfrica,
Pieter Hendriks,SouthAfrica,"Douglas, Northern Cape",SouthAfrica,
Andre Joubert,SouthAfrica,Ladysmith,SouthAfrica,
Juan Leon Novillo,Argentina,Tucum_n,Argentina,
Juan Cruz Guillemain,Argentina,San Juan,Argentina,
Andres Bordoy,Argentina,Rosario,Argentina,
Diego Palma,Argentina,Buenos Aires,Argentina,
Valentin Cruz Hernestrosa,Argentina,"Adrogu_, Buenos Aires",Argentina,
Tomas Baravalle,Argentina,Rosario,Argentina,
Jose Basile,Argentina,Cordoba,Argentina,
Stuart Hogg,Scotland,Melrose,Scotland,Stuart William Hogg
Tommy Seymour,USA,"Nashville, Tennessee",Scotland,Thomas Samuel Fenwick Seymour
Adam Ashe,Scotland,Livingston,Scotland,
Rob Harley,England,"Crewe, Cheshire",Scotland,Robert John Harley
Ronan O'Gara,USA,San Diego,Ireland,Ronan John Ross O'Gara
Robin McBryde,Wales,Bangor,Wales,Robin Currie McBryde
Japie Mulder,SouthAfrica,Yorkshire Carnegie,SouthAfrica,Jacobus (Japie) Cornelius Mulder
Levani Botia Veivuke,Fiji,Naitasiri,Fiji,
Mario Savi,Italy,Sabbioneta,Italy,
Michele Rizzo,Italy,Dolo,Italy,
Matias Aguero,Argentina,San Nicolas,Italy,
Paul Derbyshire,Italy,"Cecina, Livorno",Italy,
Davide Giazzon,Italy,Venice,Italy,
