Place,Name,Years,Tests,Matches,Number
"New Plymouth, New Zealand","Briscoe, Kevin Charles",1959 to 1964,9,34,599
"Wellington, New Zealand","Caulton, Ralph Walter",1959 to 1964,16,34,600
"Whakatane, New Zealand","Conway, Richard James",1959 to 1965,10,15,601
"Auckland, New Zealand","Tremain, Kelvin Robin",1959 to 1968,38,48,604
"Auckland, New Zealand","Davies, William Anthony",1960 to 1962,3,14,608
"New Plymouth, New Zealand","O'Sullivan, Terrence Patrick Anthony",1960 to 1962,4,12,612
"Wellington, New Zealand","Horsley, Ronald Hugh",1960 to 1964,3,28,610
"Kaitaia, New Zealand","Yates, Victor Moses",1961 to 1962,3,6,621
"Auckland, New Zealand","McKay, Donald William",1961 to 1963,5,7,618
"Ashgrove, Australia","Connor, Desmond Michael",1961 to 1964,12,3,617
"Auckland, New Zealand","Little, Paul Francis",1961 to 1964,10,19,622
"Arapuni, New Zealand","Meads, Stanley Thomas",1961 to 1966,15,15,619
"New Plymouth, New Zealand","Wolfe, Thomas Neil",1961 to 1968,6,8,620
"Akaroa, New Zealand","Le Lievre, Jules Mathew",1962 to 1964,1,24,626
"Auckland, New Zealand","Nelson, Keith Alister",1962 to 1964,2,16,631
"Auckland, New Zealand","Thomas, Barry Trevor",1962 to 1964,4,0,633
"Lower Hutt, New Zealand","Barry, Kevin Edward",1962 to 1964,0,23,623
"Marton, New Zealand","Watt, Bruce Alexander",1962 to 1964,8,21,628
"Invercargill, New Zealand","Moreton, Raymond Claude",1962 to 1965,7,5,629
"Auckland, New Zealand","Nathan, Waka Joseph",1962 to 1967,14,23,627
"Mokai, New Zealand","Herewini, McFarlane Alexander",1962 to 1967,10,22,632
"Balclutha, New Zealand","Arnold, Derek Austin",1963 to 1964,4,11,639
"Timaru, New Zealand","Stewart, Allan James",1963 to 1964,8,18,638
"Dunedin, New Zealand","Smith, Ian Stanley Talbot",1963 to 1966,9,15,644
"Whakatane, New Zealand","Major, John",1963 to 1967,1,23,643
"Porirua, New Zealand","Gray, Kenneth Francis",1963 to 1969,24,26,636
"Auckland, New Zealand","Dick, Malcolm John",1963 to 1970,15,40,635
"Christchurch, New Zealand","MacRae, Ian Robert",1963 to 1970,17,28,642
"Dunedin, New Zealand","Laidlaw, Christopher Robert",1963 to 1970,20,37,641
"Hastings, New Zealand","Davis, William Leslie",1963 to 1970,11,42,640
"Taumarunui, New Zealand","Kirton, Earle Weston",1963 to 1970,13,36,645
"Masterton, New Zealand","Lochore, Brian James",1963 to 1971,25,43,637
"Auckland, New Zealand","Murdoch, Peter Henry",1964 to 1965,5,0,650
"Tokomaru Bay, New Zealand","Collins, John Law",1964 to 1965,3,0,647
"Auckland, New Zealand","Rangi, Ronald Edward",1964 to 1966,10,0,651
"Wellington, New Zealand","Williment, Michael",1964 to 1967,9,0,649
"Auckland, New Zealand","McLeod, Bruce Edward",1964 to 1970,24,22,648
"Auckland, New Zealand","Birtwistle, William Murray",1965 to 1967,7,5,652
"Ashburton, New Zealand","McCormick, William Fergus",1965 to 1971,16,28,653
"Invercargill, New Zealand","Hazlett, Edward John",1966 to 1967,6,6,654
"Greymouth, New Zealand","Steel, Anthony Gordon",1966 to 1968,9,14,664
"Wellington, New Zealand","Williams, Graham Charles",1967 to 1968,5,13,668
"Auckland, New Zealand","Thorne, Grahame Stuart",1967 to 1970,10,29,660
"Mosgiel, New Zealand","Hopkinson, Alister Ernest",1967 to 1970,9,26,663
"Stratford, New Zealand","Smith, Alan Edward",1967 to 1970,3,15,667
"Wellington, New Zealand","Kember, Gerald Francis",1967 to 1970,1,18,665
"Christchurch, New Zealand","Cottrell, Wayne David",1967 to 1971,9,28,658
"Eltham, New Zealand","Muller, Brian Leo",1967 to 1971,14,21,656
"Palmerston North, New Zealand","Strahan, Samuel Cuningham",1967 to 1973,17,28,657
"Gisborne, New Zealand","Kirkpatrick, Ian Andrew",1967 to 1977,39,74,666
"Kawakawa, New Zealand","Going, Sidney Milton",1967 to 1977,29,57,655
"Ashburton, New Zealand","Lister, Thomas Norman",1968 to 1971,8,18,673
"Blenheim, New Zealand","Sutherland, Alan Richard",1968 to 1976,10,54,670
"Te Puke, New Zealand","Skudder, George Rupuha",1969 to 1973,1,13,678
"Oamaru, New Zealand","Hunter, Bruce Anthony",1970 to 1971,3,7,682
"Dunedin, New Zealand","Murdoch, Keith",1970 to 1972,3,24,686
"Auckland, New Zealand","Urlich, Ronald Anthony",1970 to 1973,2,33,687
"Christchurch, New Zealand","Holmes, Bevan",1970 to 1973,0,31,681
"Christchurch, New Zealand","Wyllie, Alexander John",1970 to 1973,11,29,688
"Auckland, New Zealand","Williams, Bryan George",1970 to 1978,38,75,689
"Christchurch, New Zealand","McNaughton, Alan Murray",1971 to 1972,3,6,693
"Kurow, New Zealand","Gard, Philip Charles",1971 to 1972,1,6,699
"Lower Hutt, New Zealand","Guy, Richard Alan",1971 to 1972,4,5,692
"Whakatane, New Zealand","Carrington, Kenneth Roy",1971 to 1972,3,6,691
"New Plymouth, New Zealand","Burgess, Robert Edward",1971 to 1973,7,23,690
"Auckland, New Zealand","Whiting, Peter John",1971 to 1976,20,36,695
"Dunedin, New Zealand","Mains, Laurence William",1971 to 1976,4,11,697
"Waikari, New Zealand","Norton, Rangitane Will",1971 to 1977,27,34,694
"Cromwell, New Zealand","Colling, George Lindsay",1972 to 1973,0,21,704
"Dannevirke, New Zealand","Hales, Duncan Alister",1972 to 1973,4,23,707
"Dunedin, New Zealand","Clark, Lindsay Allan",1972 to 1973,0,7,721
"Kaponga, New Zealand","Eliason, Ian Matheson",1972 to 1973,0,19,706
"Lower Hutt, New Zealand","Dougan, John Patrick",1972 to 1973,2,10,705
"Nelson, New Zealand","Morris, Trevor James",1972 to 1973,3,20,701
"Patea, New Zealand","Scown, Alistair Ian",1972 to 1973,5,12,710
"Wairoa, New Zealand","Parkinson, Ross Michael",1972 to 1973,7,13,709
"Wanganui, New Zealand","Whiting, Graham John",1972 to 1973,6,25,703
"Wellington, New Zealand","Sayers, Mark",1972 to 1973,0,15,714
"Oamaru, New Zealand","Hurst, Ian Archibald",1972 to 1974,5,27,717
"Taumarunui, New Zealand","Karam, Joseph Francis",1972 to 1975,10,32,713
"Rawene, New Zealand","Macdonald, Hamish Hugh",1972 to 1976,12,36,700
"Waipawa, New Zealand","Stevens, Ian Neal",1972 to 1976,3,30,719
"Greytown, New Zealand","Batty, Grant Bernard",1972 to 1977,15,41,715
"Wairoa, New Zealand","Lambert, Kent King",1972 to 1977,11,29,718
"Dunedin, New Zealand","Jaffray, John Lyndon",1972 to 1979,7,16,711
"Gore, New Zealand","Stewart, Kenneth William",1972 to 1981,13,42,720
"Hastings, New Zealand","Robertson, Bruce John",1972 to 1981,34,68,702
"Wanganui, New Zealand","Haden, Andrew Maxwell",1972 to 1985,41,76,716
"Whangarei, New Zealand","Sloane, Peter Henry",1973 to 1979,1,15,726
"Hamilton, New Zealand","Tanner, Kerry John",1974 to 1976,7,20,735
"Lower Hutt, New Zealand","Leslie, Andrew Roy",1974 to 1976,10,24,731
"New Plymouth, New Zealand","Crossman, Graeme Murray",1974 to 1976,0,19,739
"Palmerston North, New Zealand","Callesen, John Arthur",1974 to 1976,4,14,727
"Takaka, New Zealand","Mitchell, Terry William",1974 to 1976,1,16,743
"Whangarei, New Zealand","Morgan, Joseph Edmund",1974 to 1976,5,17,733
"Auckland, New Zealand","Knight, Lawrence Gibb",1974 to 1977,6,29,730
"Dunedin, New Zealand","Robertson, Duncan John",1974 to 1977,10,20,734
"Palmerston North, New Zealand","Eveleigh, Kevin Alfred",1974 to 1977,4,26,740
"Dunedin, New Zealand","Bruce, Oliver Douglas",1974 to 1978,14,27,737
"Napier, New Zealand","Bush, William Kingita Te Pohe",1974 to 1979,12,25,738
"Wanganui, New Zealand","Osborne, William Michael",1975 to 1982,16,32,744
"Christchurch, New Zealand","Davis, Lyndon John",1976 to 1977,3,13,745
"Hamilton, New Zealand","Greene, Kevin Michael",1976 to 1977,0,8,756
"New Plymouth, New Zealand","McEldowney, John Thompson",1976 to 1977,2,8,768
"Christchurch, New Zealand","Stewart, Vance Edmond",1976 to 1979,0,12,762
"Dunedin, New Zealand","Seear, Gary Alan",1976 to 1979,12,22,748
"Auckland, New Zealand","Johnstone, Bradley Ronald",1976 to 1980,13,32,749
"Hamilton, New Zealand","Taylor, Murray Barton",1976 to 1980,7,23,770
"Leeston, New Zealand","Wilson, Richard George",1976 to 1980,2,23,764
"Timaru, New Zealand","Black, John Edwin",1976 to 1980,3,23,765
"Whakatane, New Zealand","Conn, Stuart Bruce",1976 to 1980,0,6,766
"Dunedin, New Zealand","Oliver, Francis James",1976 to 1981,17,26,750
"Otahuhu, New Zealand","Spiers, John Edmunde",1976 to 1981,5,23,761
"Papakura, New Zealand","Rollerson, Douglas Leslie",1976 to 1981,8,16,758
"Auckland, New Zealand","Taylor, Norman Mark",1976 to 1982,9,18,771
"Opunake, New Zealand","Mourie, Graham Neil Kenneth",1976 to 1982,21,40,757
"Gore, New Zealand","Wilson, Stuart Sinclair",1976 to 1983,34,51,772
"Hamilton, New Zealand","Myers, Richard George",1977 to 1978,1,4,779
"Dunstan, New Zealand","Wilson, Bevan William",1977 to 1979,8,4,775
"Kaikoura, New Zealand","Ford, Brian Robert",1977 to 1979,4,16,774
"Gore, New Zealand","McKechnie, Brian John",1977 to 1981,10,16,778
"Palmerston North, New Zealand","Donaldson, Mark William",1977 to 1981,13,22,781
"Dunedin, New Zealand","Dalton, Andrew Grant",1977 to 1985,35,23,777
"Waikari, New Zealand","Ashworth, John Colin",1977 to 1985,24,28,776
"Wellington, New Zealand","Knight, Gary Albert",1977 to 1986,36,30,782
"Tauranga, New Zealand","Graham, Wayne Geoffrey",1978 to 1979,1,7,792
"Auckland, New Zealand","Fleming, John Kingsley",1978 to 1980,5,30,785
"Christchurch, New Zealand","Rutledge, Leicester Malcolm",1978 to 1980,13,18,784
"Te Kopuru, New Zealand","Dunn, Edward James",1978 to 1981,2,18,790
"Stratford, New Zealand","Loveridge, David Steven",1978 to 1985,24,30,791
"Auckland, New Zealand","Cunningham, Gary Richard",1979 to 1980,5,12,794
"Patea, New Zealand","Watts, Murray Gordon",1979 to 1980,5,8,793
"Taumarunui, New Zealand","Twigden, Timothy Moore",1979 to 1980,2,13,803
"Hamilton, New Zealand","Cameron, Lachlan Murray",1979 to 1981,5,12,796
"Papakura, New Zealand","Ketels, Rodney Clive",1979 to 1981,5,11,802
"Lautoka, Fiji","Fraser, Bernard Gabriel",1979 to 1984,23,32,797
"Lower Hutt, New Zealand","Hewson, Allan Roy",1979 to 1984,19,15,804
"Wellington, New Zealand","Mexted, Murray Graham",1979 to 1985,34,38,798
"Auckland, New Zealand","Burgess, Gregory Alexander John",1980 to 1981,1,1,816
"Gisborne, New Zealand","Jefferd, Andrew Charles Reeves",1980 to 1981,3,2,815
"Hong Kong, Hong Kong and the New Territories","Salmon, James Lionel Broome",1980 to 1981,3,4,818
"Kaikohe, New Zealand","Woodman, Fred Akehurst",1980 to 1981,3,11,822
"Eltham, New Zealand","Old, Geoffrey Haldane",1980 to 1983,3,14,817
"Rangiora, New Zealand","Higginson, Graeme",1980 to 1983,6,14,808
"Putaruru, New Zealand","Smith, Wayne Ross",1980 to 1985,17,18,806
"Palmerston North, New Zealand","Shaw, Mark William",1980 to 1986,30,39,810
"Rotorua, New Zealand","Reid, Hikatarewa Rockcliffe",1980 to 1986,9,31,809
"Tokoroa, New Zealand","Koteka, Tohoa Tauroa",1981 to 1982,2,4,831
"Wanganui, New Zealand","Donald, Andrew John",1981 to 1984,7,13,828
"Hawera, New Zealand","Pokere, Steven Tahurata",1981 to 1985,18,21,825
"Opotiki, New Zealand","Shelford, Frank Nuki Ken",1981 to 1985,4,18,826
"Auckland, New Zealand","Stone, Arthur Massey",1981 to 1986,9,14,832
"Auckland, New Zealand","Whetton, Gary William",1981 to 1991,58,43,827
"Tauranga, New Zealand","Braid, Gary John",1983 to 1984,2,11,839
"Te Kopuru, New Zealand","Dunn, Ian Thomas Wayne",1983 to 1984,3,10,835
"Wairoa, New Zealand","Smith, Bruce Warwick",1983 to 1984,3,7,845
"Cheviot, New Zealand","Deans, Robert Maxwell",1983 to 1985,5,14,841
"Wanganui, New Zealand","Crichton, Scott",1983 to 1985,2,5,840
"Christchurch, New Zealand","Hobbs, Michael James Bowie",1983 to 1986,21,18,836
"Wellington, New Zealand","McGrattan, Brian",1983 to 1986,6,17,850
"Christchurch, New Zealand","Green, Craig Ivan",1983 to 1987,20,19,842
"Wellington, New Zealand","Kirk, David Edward",1983 to 1987,17,17,843
"Christchurch, New Zealand","Anderson, Albert",1983 to 1988,6,19,847
"Hamilton, New Zealand","Taylor, Warwick Thomas",1983 to 1988,24,16,837
"Te Kuiti, New Zealand","Boroevich, Kevin Grant",1983 to 1988,3,23,838
"Kaponga, New Zealand","Crowley, Kieran James",1983 to 1991,19,16,848
"Wellington, New Zealand","Clamp, Michael",1984 to 1985,2,13,851
"Timaru, New Zealand","Pierce, Murray James",1984 to 1990,26,28,852
"Auckland, New Zealand","Whetton, Alan James",1984 to 1991,35,30,853
"New Plymouth, New Zealand","Fox, Grant James",1984 to 1993,46,32,857
"Auckland, New Zealand","Kirwan, John James",1984 to 1994,63,33,854
"Auckland, New Zealand","Drake, John Alan",1985 to 1987,8,4,865
"Rotorua, New Zealand","Shelford, Wayne Thomas",1985 to 1990,22,26,860
"Rotorua, New Zealand","McDowall, Steven Clark",1985 to 1992,46,35,862
"Auckland, New Zealand","Brooke-Cowden, Mark",1986 to 1987,3,3,868
"Lower Hutt, New Zealand","Anderson, Brent Leslie",1986 to 1987,1,2,876
"London, England","Gallagher, John Anthony",1986 to 1989,18,23,879
"Mangakino, New Zealand","Botica, Frano Michael",1986 to 1989,7,20,866
"Auckland, New Zealand","Stanley, Joseph Tito",1986 to 1991,27,22,874
"Auckland, New Zealand","Wright, Terence John",1986 to 1992,30,34,875
"Christchurch, New Zealand","Earl, Andrew Thomas",1986 to 1992,14,31,870
"Gisborne, New Zealand","Cooper, Gregory John Luke",1986 to 1992,7,0,869
"Wellington, New Zealand","Berry, Martin Joseph",1986 to 1993,1,9,878
"Christchurch, New Zealand","Loe, Richard Wyllie",1986 to 1995,49,29,881
"Pukekohe, New Zealand","Brewer, Michael Robert",1986 to 1995,32,29,867
"Auckland, New Zealand","Fitzpatrick, Sean Brian Thomas",1986 to 1997,92,36,871
"Apia, Samoa","Schuster, Nesetorio Jonny",1987 to 1989,10,16,889
"Cheviot, New Zealand","Deans, Ian Bruce",1987 to 1989,10,13,891
"Auckland, New Zealand","McCahill, Bernard Jospeh",1987 to 1991,10,22,884
"Christchurch, New Zealand","Bachop, Graeme Thomas Miro",1987 to 1995,31,23,885
"Gisborne, New Zealand","Cooper, Matthew James Andrew",1987 to 1996,8,18,887
"Waiuku, New Zealand","Brooke, Zinzan Valentine",1987 to 1997,58,42,883
"Auckland, New Zealand","Jones, Michael Niko",1987 to 1998,55,19,882
"Suva, Fiji","Williams, Ronald Oscar",1988 to 1989,0,10,894
"Christchurch, New Zealand","Philpott, Shayne",1988 to 1991,2,12,895
"Hamilton, New Zealand","Gatland, Warren David",1988 to 1991,0,17,892
"New Plymouth, New Zealand","Innes, Craig Ross",1989 to 1991,17,13,901
"Falesiu, Samoa","Tuigamala, Va'aiga Lealuga",1989 to 1993,19,20,900
"Te Awamutu, New Zealand","Gordon, Steven Bryan",1989 to 1993,2,17,896
"Waihi, New Zealand","Purvis, Graham Herbert",1989 to 1993,2,26,899
"Dannevirke, New Zealand","Timu, John Kahukura Raymond",1989 to 1994,26,24,905
"Bluff, New Zealand","Henderson, Paul William",1989 to 1995,7,18,897
"Te Aroha, New Zealand","Schuler, Kevin James",1989 to 1995,4,9,904
"Tokoroa, New Zealand","Little, Walter Kenneth",1989 to 1998,50,25,898
"Whangarei, New Zealand","Jones, Ian Donald",1989 to 1999,79,26,902
"Masterton, New Zealand","Hullena, Laurence Clifford",1990 to 1991,0,9,907
"Pukekohe, New Zealand","McGahan, Paul William",1990 to 1991,0,6,909
"Lower Hutt, New Zealand","Mannix, Simon James",1990 to 1994,1,8,908
"Apia, Samoa","Brown, Olo Max",1990 to 1998,56,13,910
"Dunedin, New Zealand","Preston, Jon Paul",1991 to 1997,10,17,913
"Auckland, New Zealand","Carter, Mark Peter",1991 to 1998,7,3,912
"Christchurch, New Zealand","Bachop, Stephen John",1992 to 1994,5,13,925
"Hamilton, New Zealand","Pene, Aran Rewi Brett",1992 to 1994,15,11,918
"Blenheim, New Zealand","Joseph, James Whitinui",1992 to 1995,20,10,920
"Te Awamutu, New Zealand","Strachan, Anthony Duncan",1992 to 1995,11,6,922
"Wellington, New Zealand","Ellis, Marc Christopher Gwynne",1992 to 1995,8,12,926
"Kaeo, New Zealand","Rush, Eric James",1992 to 1996,9,20,927
"Takapuna, New Zealand","Larsen, Blair Peter",1992 to 1996,17,23,921
"Whangarei, New Zealand","Taylor, Glenn Lyndon",1992 to 1996,1,5,930
"Auckland, New Zealand","Bunce, Frank Eneri",1992 to 1997,55,14,915
"Apia, Samoa","Clarke, Eroni",1992 to 1998,10,14,919
"Warkworth, New Zealand","Brooke, Robin Matthew",1992 to 1999,62,7,924
"Auckland, New Zealand","Cooksley, Mark Stephen Bill",1992 to 2001,11,12,916
"Auckland, New Zealand","Howarth, Shane Paul",1993 to 1994,4,6,939
"Auckland, New Zealand","Fromont, Richard Trevor",1993 to 1995,0,10,937
"Pahiatua, New Zealand","Forster, Stuart Thomas",1993 to 1995,6,6,934
"Takapuna, New Zealand","Barry, Liam John",1993 to 1995,1,9,936
"Auckland, New Zealand","Stensness, Lee",1993 to 1997,8,6,932
"Stratford, New Zealand","Allen, Mark Richard",1993 to 1997,8,19,933
"Hastings, New Zealand","Hewitt, Norman Jason",1993 to 1998,9,14,938
"Auckland, New Zealand","Dowd, Craig William",1993 to 2000,60,7,931
"Invercargill, New Zealand","Wilson, Jeffrey William",1993 to 2001,60,11,935
"Apia, Samoa","Ieremia, Alama",1994 to 2000,30,10,942
"Auckland, New Zealand","Lomu, Jonah Tali",1994 to 2002,63,10,941
"Invercargill, New Zealand","Culhane, Simon David",1995 to 1996,6,3,946
"Nausori Highlands, Fiji","Matson, John Tabaiwalu Fakavale",1995 to 1996,0,5,950
"Wanganui, New Zealand","Osborne, Glen Matthew",1995 to 1999,19,10,945
"Hastings, New Zealand","Kronfeld, Joshua Adrian",1995 to 2000,54,2,943
"Rangiora, New Zealand","Blackadder, Todd Julian",1995 to 2000,12,13,947
"Hastings, New Zealand","Randell, Taine Cheyenne",1995 to 2002,51,10,949
"Durban, South Africa","Mehrtens, Andrew Philip",1995 to 2004,70,2,944
"Levin, New Zealand","Spencer, Carlos James",1995 to 2004,35,9,951
"Gore, New Zealand","Marshall, Justin Warren",1995 to 2005,81,7,948
"Tokoroa, New Zealand","Cashmore, Adrian Richard",1996 to 1997,2,0,954
"Whangarei, New Zealand","Barrell, Connan Keith",1996 to 1997,0,4,955
"Brisbane, Australia","McLeod, Scott James",1996 to 1998,10,7,953
"Wellington, New Zealand","Tonu'u, Ofisa Francis Junior",1996 to 1998,5,3,957
"Auckland, New Zealand","Blowers, Andrew Francis",1996 to 1999,11,7,956
"Paraparaumu, New Zealand","Cullen, Christian Mathias",1996 to 2002,58,2,952
"Invercargill, New Zealand","Oliver, Anton David",1996 to 2007,59,8,960
"New Plymouth, New Zealand","Slater, Gordon Leonard",1997 to 2000,3,3,968
"Palmerston North, New Zealand","Robinson, Mark Darren",1997 to 2001,3,5,965
"Lower Hutt, New Zealand","Umaga, Jonathan Falefasa",1997 to 2005,74,5,961
"Tauranga, New Zealand","Robertson, Scott Maurice",1998 to 2002,23,0,974
"Tokoroa, New Zealand","Willis, Royce Kevin",1998 to 2002,12,0,975
"Auckland, New Zealand","Hoeft, Carl Henry",1998 to 2003,30,1,971
"Christchurch, New Zealand","Hammett, Mark Garry",1998 to 2003,29,1,984
"Rotorua, New Zealand","Ralph, Caleb Stanley",1998 to 2003,14,2,970
"Auckland, New Zealand","Meeuws, Kees Junior",1998 to 2004,42,3,977
"Auckland, New Zealand","Rush, Xavier Joseph",1998 to 2004,8,0,978
"Balclutha, New Zealand","Brown, Tony Eion",1999 to 2001,18,1,980
"New Plymouth, New Zealand","Feek, Gregory Edward",1999 to 2001,10,0,987
"Nuku'alofa, Tonga","Alatini, Pita Faiva-ki-moana",1999 to 2001,17,3,979
"Lumsden, New Zealand","Gibson, Daryl Peter Earl",1999 to 2002,19,0,985
"Rawene, New Zealand","Maxwell, Norman Michael Clifford",1999 to 2004,36,0,986
"Christchurch, New Zealand","Thorne, Reuben David",1999 to 2007,50,1,988
"Dunedin, New Zealand","Kelleher, Byron Terrance",1999 to 2007,57,1,983
"Wanganui, New Zealand","Cribb, Ronald Te Huia",2000 to 2001,15,0,994
"Stratford, New Zealand","Robinson, Mark Powell",2000 to 2002,9,0,996
"Auckland, New Zealand","Howlett, Douglas Charles",2000 to 2007,61,1,992
"Otahuhu, New Zealand","Flavell, Troy Vandem",2000 to 2007,22,0,990
"Blenheim, New Zealand","MacDonald, Leon Raymond",2000 to 2008,56,0,995
"Wairoa, New Zealand","Somerville, Greg Mardon",2000 to 2008,66,1,991
"Dunedin, New Zealand","Willis, Thomas Eion",2001 to 2002,5,2,1012
"Westport, New Zealand","Blair, Ben Austin",2001 to 2002,4,2,1004
"Christchurch, New Zealand","Hewett, David Norman",2001 to 2003,22,2,1005
"Christchurch, New Zealand","Maling, Thomas Simon",2001 to 2004,11,2,1007
"Blenheim, New Zealand","Hill, David William",2001 to 2006,1,2,1006
"Hamilton, New Zealand","Holah, Martin Rowan",2001 to 2006,36,3,999
"Apia, Samoa","Collins, Jerry",2001 to 2007,48,2,1002
"Christchurch, New Zealand","Jack, Christopher Raymond",2001 to 2007,67,1,1003
"Christchurch, New Zealand","Mauger, Aaron Joseph Douglas",2001 to 2007,45,1,1013
"Opunake, New Zealand","Hayman, Carl Joseph",2001 to 2007,45,1,1000
"Oamaru, New Zealand","McCaw, Richard Hugh",2001 to present,126,1,1014
"Boggabri, Australia","Devine, Stephen John",2002 to 2003,10,0,1018
"Te Aroha, New Zealand","Robinson, Keith John",2002 to 2007,12,0,1021
"Moto'otua, Samoa","So'oialo, Rodney",2002 to 2009,62,1,1028
"Tauranga, New Zealand","Braid, Daniel John",2002 to 2010,6,0,1027
"Auckland, New Zealand","Williams, Alexander James",2002 to 2012,77,1,1022
"Dunedin, New Zealand","Hore, Andrew Keith",2002 to 2013,83,0,1019
"Helensville, New Zealand","Woodcock, Tony Dale",2002 to present,109,0,1025
"Tokoroa, New Zealand","Mealamu, Keven Filipo",2002 to present,112,1,1026
"Nadi, Fiji","Rokocoko, Josevata Taliga",2003 to 2010,68,1,1032
"Invercargill, New Zealand","Flynn, Corey Robert",2003 to 2011,15,2,1036
"Mosgiel, New Zealand","Thorn, Brad Carnegie",2003 to 2011,59,1,1035
"Salelesi, Samoa","Muliaina, Junior Malili",2003 to 2011,100,2,1033
"Leeston, New Zealand","Carter, Daniel William",2003 to 2013,100,0,1034
"Wellington, New Zealand","Nonu, Ma'a Allan",2003 to present,90,1,1031
"Ha'apai, Tonga","Taumoepeau, Saimone",2004 to 2005,3,1,1045
"Henderson, New Zealand","Gibbes, Jonathan Brian",2004 to 2005,8,0,1038
"Auckland, New Zealand","Tuiali‰Ûªi, Moses Moses",2004 to 2006,9,1,1042
"Auckland, New Zealand","Tuitupou, Samual",2004 to 2006,9,0,1040
"Moto'otua, Samoa","Laulala, Casey Daniel Eti",2004 to 2006,2,1,1048
"Rotorua, New Zealand","Newby, Craig Alan",2004 to 2006,3,0,1041
"Gisborne, New Zealand","Gear, Rico Levi",2004 to 2007,19,1,1043
"North Shore, New Zealand","Evans, Nicholas John",2004 to 2007,16,0,1039
"Gore, New Zealand","Cowan, Quinton James",2004 to 2011,51,2,1046
"Lower Hutt, New Zealand","Weepu, Piri Awahou Tihou",2004 to 2013,71,2,1049
"Hawera, New Zealand","Smith, Conrad Gerard",2004 to present,77,0,1044
"Tutuila, American Samoa","Kaino, Jerome",2004 to present,50,1,1050
"Christchurch, New Zealand","Ryan, James Andrew Cheyne",2005 to 2006,9,0,1051
"Savai'i, Samoa","Masoe, Matemini Christopher",2005 to 2007,20,0,1059
"Ha'apai, Tonga","Lauaki, Sione Tuitupu",2005 to 2008,17,0,1055
"Palmerston North, New Zealand","Eaton, Jason John",2005 to 2009,15,2,1063
"Waitara, New Zealand","McAlister, Charles Luke",2005 to 2009,30,1,1057
"Lower Hutt, New Zealand","Tialata, Neemiah Stanley",2005 to 2010,43,1,1060
"Auckland, New Zealand","Afoa, Ioane Fitu",2005 to 2011,36,2,1062
"Moto'otua, Samoa","Toeava, Isaia",2005 to 2011,36,1,1064
"Suva, Fiji","Sivivatu, Sitiveni Waica",2005 to 2011,45,1,1052
"Durban, South Africa","Rawlinson, Gregory Paul",2006 to 2007,4,0,1066
"Christchurch, New Zealand","Ellis, Andrew Michael",2006 to 2011,26,0,1068
"Apia, Samoa","Schwalger, John Evan",2007 to 2008,2,0,1071
"Wellington, New Zealand","Filipo, Ross Ami",2007 to 2008,4,1,1070
"Morrinsville, New Zealand","Leonard, Brendon Grant",2007 to 2009,13,1,1069
"Hastings, New Zealand","Mathewson, Alby Samuel",2008 to 2010,4,1,1087
"Auckland, New Zealand","Boric, Anthony Frank",2008 to 2011,24,1,1074
"Papakura, New Zealand","Donald, Stephen Rex",2008 to 2011,23,2,1075
"Tokoroa, New Zealand","Kahui, Richard David",2008 to 2011,17,1,1076
"Ashburton, New Zealand","Thomson, Adam John",2008 to 2012,29,2,1073
"Gisborne, New Zealand","Gear, Hosea Emiliano",2008 to 2012,14,1,1079
"Hastings, New Zealand","Elliot, Hikawera Te Po",2008 to 2012,3,1,1086
"Melbourne, Australia","Franks, Ben John",2008 to 2013,31,1,1084
"Papakura, New Zealand","Read, Kieran James",2008 to 2013,61,1,1083
"Blenheim, New Zealand","Messam, Liam Justin",2008 to present,31,2,1082
"Wellington, New Zealand","Jane, Cory Steven",2008 to present,47,2,1080
"Palmerston North, New Zealand","de Malmanche, Aled Peter",2009 to 2010,5,0,1095
"Rotorua, New Zealand","Donnelly, Thomas Joshua Sebastian",2009 to 2010,15,0,1096
"Masterton, New Zealand","Guildford, Zachary Robert",2009 to 2012,10,1,1097
"Wellington, New Zealand","Ellison, Tamati Edward",2009 to 2012,4,1,1099
"Christchurch, New Zealand","Crockett, Wyatt William Vogels",2009 to present,26,1,1091
"Dunedin, New Zealand","Smith, Benjamin Robert",2009 to present,28,1,1100
"Motueka, New Zealand","Franks, Owen Thomas",2009 to present,56,0,1094
"Auckland, New Zealand","Williams, Sonny Bill",2010 to 2012,19,0,1108
"Christchurch, New Zealand","Slade, Colin Richard",2010 to 2013,11,0,1107
"Whangarei, New Zealand","Ranger, Rene Mark Nelson",2010 to 2013,6,0,1106
"Marton, New Zealand","Dagg, Israel Jamahl Akuhata",2010 to present,39,0,1101
"Palmerston North, New Zealand","Cruden, Aaron Wiremu",2010 to present,31,0,1105
"Palmerston North, New Zealand","Whitelock, Samuel Lawrence",2010 to present,53,0,1104
"Wellington, New Zealand","Vito, Victor Vasefafanua Junior",2010 to present,24,0,1103
"Australia, Australia","Kerr-Barlow, Tawera Narada James",2012 to 2013,14,0,1118
"Nelson, New Zealand","Romano, Luke",2012 to 2013,16,0,1114
"Rotorua, New Zealand","Cane, Samuel Jordan",2012 to 2013,14,0,1113
"Auckland, New Zealand","Faumuina, Charlie",2012 to present,19,0,1116
"New Plymouth, New Zealand","Barrett, Beauden John",2012 to present,18,0,1115
