Place,Name,Years,Tests,Matches,Number
"Rough Ridge, Central Otago, New Zealand","Cabot, Phillippe Sidney de Quetteville",1921,0,1,238
"Timaru, New Zealand","Markham, Paul Francis",1921,0,1,242
"Wellington, New Zealand","Siddells, Stanley Keith",1921,1,0,250
"Wellington, New Zealand","Ward, Francis Gerald",1921,0,1,247
"Westport, New Zealand","Aitken, George Gothard",1921,2,0,229
"Auckland, New Zealand","Badeley, Victor Ivan Roskill",1922,0,5,260
"Birnie, Australia","Bell, Reginald Clive",1922,0,8,251
"Blenheim, New Zealand","O'Brien, Andrew James",1922,0,3,256
"Boatmans, New Zealand","Smyth, Bernard Francis",1922,0,3,257
"Brunnerton, New Zealand","Masters, Frederick Harold",1922,0,4,254
"Chatham Islands, New Zealand","Mathieson, Robert George",1922,0,4,255
"Dunedin, New Zealand","Dickinson, George Ritchie",1922,0,5,263
"Fairhall, New Zealand","Fitzgerald, Charles James",1922,0,5,253
"Rahotu, New Zealand","Hickey, Percy Hubert",1922,0,2,264
"Wellington, New Zealand","Calcinai, Umberto Primo",1922,0,5,262
"Alexandra, New Zealand","McMeeking, David Thomas McLaggan",1923,0,2,266
"Invercargill, New Zealand","Bell, Joseph Raymond",1923,0,1,274
"Mahia, New Zealand","Ormond, Jack",1923,0,1,284
"Milton, New Zealand","Morgan, Herman David",1923,0,1,282
"Milton, New Zealand","Stewart, Edward Barrie",1923,0,1,287
"Mohaka, New Zealand","Gemmell, Samuel William",1923,0,1,265
"Nelson, New Zealand","Tunnicliff, Robert Graham",1923,0,1,289
"New Plymouth, New Zealand","Sinclair, Robert Gemmell Burnett",1923,0,2,270
"Taihape, New Zealand","Potaka, Waate Pene",1923,0,2,268
"Tomona, New Zealand","McCarthy, Patrick",1923,0,1,277
"Wanganui, New Zealand","Taituha, Peina",1923,0,2,272
"Waratah, Australia","Tilyard, Frederick Joseph",1923,0,1,273
"Wellington, New Zealand","Nicholls, Harold Garwood",1923,0,1,283
"Wellington, New Zealand","Perry, Arnold",1923,0,1,278
"Wellington, New Zealand","Pringle, Alexander",1923,0,1,279
"Auckland, New Zealand","Knight, Lawrence Alfred George",1925,0,5,309
"Auckland, New Zealand","Mattson, Herman Alfred",1925,0,6,311
"Auckland, New Zealand","Wright, Donald Hector",1925,0,6,314
"Christchurch, New Zealand","Harris, Jack Hardy",1925,0,8,306
"Christchurch, New Zealand","McCormick, Archibald George",1925,0,1,322
"Dunedin, New Zealand","Wise, George Dennis",1925,0,7,313
"Hastings, New Zealand","McNab, John Alexander",1925,0,1,316
"Invercargill, New Zealand","Archer, James Albert",1925,0,2,302
"Kaiapoi, New Zealand","Thomas, Leslie Arthur",1925,0,3,321
"Okaiawa, New Zealand","Johnston, David",1925,0,2,318
"Palmerston North, New Zealand","Law, Arthur Douglas",1925,0,4,319
"Temuka, New Zealand","Dickson, David McKee",1925,0,7,315
"Timaru, New Zealand","Lawson, Gordon Pirie",1925,0,2,320
"Toko, New Zealand","Walter, John",1925,0,7,312
"Wairoa, New Zealand","Corkill, Thomas George",1925,0,4,317
"Auckland, New Zealand","Wright, William Alexander",1926,0,1,328
"Dunedin, New Zealand","Stevenson, Donald Robert Louis",1926,0,4,326
"Auckland, New Zealand","Bradanovich, Nicholas Martin",1928,0,2,345
"Auckland, New Zealand","Butler, Victor Claude",1928,0,1,346
