Walter Davis,NZ,,,,
Jum Sampson,NZ,Waihi,,,
William Murphy,IRE,,,,
"Roy Chambers""",AUS,Dulwich,,,
Roland Raymond,FIJ,,,,
John Hill,,,,,
Patrick Mulligan,SA,,,,
Haggis Lang,INDIA,Multan,,,
Peter Kay,AUS,Adelaide,,,
Toutai Kefu,TON,,,,
Owen Farrell,ENG,Wigan,,,
Charlie Sharples,HK,Hong Kong,,,
Matt Banahan,ENG,Channel Islands,,,
Jamie Salmon,ENG,,,,
David Cooke,AUS,Brisbane,,,
,,,,,
John Geddes,,,,,"Codlin, Brett William"
Bill Heke,,,,,"Hines, Geoffrey Robert"
Lew Hook,,,,,"Rickit, Haydn"
Charles Oliver,,,,,"Davie, Murray Geoffrey"
Keith Reid,,,,,"Simpson, Victor Lenard James"
Wattie Reside,,,,,"Speight, Michael Wayne"
Fritz Snow,,,,,"Macpherson, Gordon"
Charles Sonntag,,,,,"Harvey, Brett Andrew"
Jack Tuck,,,,,"Hewett, Jason Alexander"
Alfred Waterman,,,,,"Turner, Richard Steven"
Clinton Stringfellow,,,,,"Dowd, Graham William"
Alfred Kivell,,,,,"Riechelmann, Charles Calvin"
Bertram Palmer,,,,,"Mayerhofler, Mark Andrew"
Rawi Cundy,,,,,"Maka, Isitolo"
Tiny Leys,,,,,"Vidiri, Joeli"
Walter Batty,,,,,"Berryman, Norman Rangi"
George Hart,,,,,"Mika, Dylan Gabriel"
Don Oliver,,,,,"Duggan, Rhys John Llewellyn"
Edward Steere,,,,,"O'Halloran, Jason David"
Merv Corner,,,,,"Reihana, Bruce Trevor"
John Hore,,,,,"Tiatia, Filogia Ian"
Hugh McLean,,,,,"Ranby, Richard Mark"
Kelly Ball,,,,,"Waller, Dion Alan George"
Ron Bush,,,,,"Mika, Bradley Moni"
Ted Jessep,,,,,"King, Regan Matthew"
Donald Max,,,,,"Broomhall, Sam Roger"
Thomas Metcalfe,,,,,"Lee, Daniel David"
Rusty Page,,,,,"McDonnell, Joseph Michael"
George Purdue,,,,,"Lowen, Keith Ross"
Frank Solomon,,,,,"Steinmetz, Paul Christopher"
George Bullock-Douglas,,,,,"Harding, Samuel"
Pat Caughey,,,,,"Atiga, Benjamin Alo Charles"
