William Wotherspoon,1891,Halfback,Fife,8,5,3,3,United Kingdom,Scotland,Fife
George Campbell,1892,Centre,Sussex,17,9,2,9,United States of America,Virginia,Sussex
John Millar,1892,Forward,?,6,4,1,2,g,n,i
Nelson Henderson,1892,Forward,London,1,1,0,0,United Kingdom,England,Greater London
James Woodburn,1892,Three-quarters,Glasgow,1,1,0,0,United Kingdom,G,Scotland
William Cownie,1893,Forward,Edinburgh,9,5,0,0,United Kingdom,Scotland,City of Edinburgh
James Gowans,1893,Wing,Durham,8,5,2,6,United Kingdom,England,North East England
Robert Greig,1893,Halfback,Glasgow,2,1,0,0,United Kingdom,G,Scotland
Thomas Hendry,1893,Forward,Glasgow,4,2,0,0,United Kingdom,G,Scotland
Henry Menzies,1893,Forward,ON,4,1,0,0,Canada,Ontario,Missing
David Robertson,1893,Three-quarters,Glasgow,1,0,0,0,United Kingdom,G,Scotland
James Bishop,1893,Forward,Glasgow,1,0,0,0,United Kingdom,G,Scotland
William Donaldson,1893,Halfback,Glasgow,6,2,0,3,United Kingdom,G,Scotland
D. Fisher,1893,Forward,?,1,0,0,0,g,n,i
Jim Ford,1893,Forward,?,1,0,0,0,g,n,i
John Simpson,1893,Halfback,?,13,7,0,0,g,n,i
Roger Davidson,1893,Forward,Kinfauns,1,1,0,0,United Kingdom,Scotland,Perth and Kinross
Tom Scott,1893,Forward,Melrose,12,7,0,9,United States of America,Massachusetts,Middlesex County
Henry Gedge,1894,Wing,London,6,4,2,10,United Kingdom,England,Greater London
Willie McEwan,1894,Forward,Edinburgh,18,9,1,3,United Kingdom,Scotland,City of Edinburgh
John Rogerson,1894,Fullback,?,1,0,0,0,g,n,i
Hugh Wright,1894,Forward,Inverary,1,0,0,0,Canada,Ontario,Inverary
Alexander Anderson,1894,Forward,?,1,0,0,0,g,n,i
Gordon Neilson,1894,Forward,Bothwell,1,1,0,0,United Kingdom,Scotland,South Lanarkshire
Harry Dods,1895,Forward,Glasgow,8,5,0,0,United Kingdom,G,Scotland
Mattha Elliot,1895,Halfback,Hawick,6,4,0,0,United Kingdom,Scotland,Scottish Borders
Allan Smith,1895,Fullback,?,11,5,0,2,g,n,i
Harry Smith,1895,Forward,N Berwick,11,5,1,3,United Kingdom,Scotland,East Lothian
Robin Welsh,1895,Wing,Edinburgh,4,3,1,3,United Kingdom,Scotland,City of Edinburgh
Andrew Balfour,1896,Forward,Edinburgh,4,1,0,0,United Kingdom,Scotland,City of Edinburgh
James Couper,1896,Forward,Glasgow,3,0,0,0,United Kingdom,G,Scotland
Mark Morrison,1896,Forward,Dalmeny,26,12,0,0,United Kingdom,Scotland,City of Edinburgh
Davie Patterson,1896,Halfback,Hawick,1,0,0,0,United Kingdom,Scotland,Scottish Borders
Tom Scott,1896,Wing,?,11,4,2,6,g,n,i
Alec Timms,1896,Centre,Vic,17,11,4,19,Australia,Victoria,Missing
Charles Fleming,1896,Centre,1868,3,2,1,3,Norge,Nordland,Øksnes
George Turnbull,1896,Forward,?,5,2,1,3,g,n,i
Alec Laidlaw,1897,Forward,Edinburgh,1,1,0,0,United Kingdom,Scotland,City of Edinburgh
Ronald Stevenson,1897,Forward,South Shields,6,3,0,0,United Kingdom,England,North East England
Alfred Bucher,1897,Wing,Edinburgh,4,2,4,12,United Kingdom,Scotland,City of Edinburgh
Alec Robertson,1897,Centre,Edinburgh,1,0,0,0,United Kingdom,Scotland,City of Edinburgh
John Dykes,1898,Forward,Glasgow,10,6,1,3,United Kingdom,G,Scotland
Graham Kerr,1898,Forward,Aberdeen,8,3,0,0,United Kingdom,Scotland,Aberdeenshire
Joe Mabon,1898,Halfback,Jedburgh,4,1,0,0,United Kingdom,Scotland,Scottish Borders
Andrew MacKinnon,1898,Forward,Glasgow,6,3,0,0,United Kingdom,G,Scotland
Robbie Neilson,1898,Halfback,Bothwell,6,2,0,0,United Kingdom,Scotland,South Lanarkshire
James Reid,1898,Fullback,?,3,1,0,0,g,n,i
Robert Scott,1898,Forward,?,3,1,0,0,g,n,i
Edward Spencer,1898,Centre,?,1,1,0,0,g,n,i
Tommy Nelson,1898,Centre,Edinburgh,1,0,0,0,United Kingdom,Scotland,City of Edinburgh
Lawrence Harvey,1899,Forward,Glasgow,1,0,0,0,United Kingdom,G,Scotland
Douglas Monypenny,1899,Centre,Fife,3,2,1,3,United Kingdom,Scotland,Fife
George Lamond,1899,Centre,Glasgow,3,3,0,4,United Kingdom,G,Scotland
Harry Rottenburg,1899,Fullback,Glasgow,5,2,0,0,United Kingdom,G,Scotland
William Thomson,1899,Forward,Glasgow,3,2,0,6,United Kingdom,G,Scotland
John Gillespie,1899,Halfback,Edinburgh,13,6,5,31,United Kingdom,Scotland,City of Edinburgh
David Bedell-Sivright,1900,Forward,Edinburgh,23,13,3,9,United Kingdom,Scotland,City of Edinburgh
Jack Crabbie,1900,Wing,Edinburgh,6,3,2,6,United Kingdom,Scotland,City of Edinburgh
Frank Fasson,1900,Halfback,Peebles,5,2,0,0,United Kingdom,Scotland,Scottish Borders
Frederick Henderson,1900,Forward,Dundee,2,0,0,0,United Kingdom,Scotland,Dundee City
William Morrison,1900,Centre,Edinburgh,1,0,0,0,United Kingdom,Scotland,City of Edinburgh
John Campbell,1900,Forward,Las Flores,1,0,0,0,Uruguay,Salto,Las Flores
James Greenlees,1900,Forward,Glasgow,7,3,0,0,United Kingdom,G,Scotland
Bill Scott,1900,Forward,Wishaw,24,11,0,2,United Kingdom,ML2,Scotland
William Welsh,1900,Wing,Edinburgh,8,3,4,12,United Kingdom,Scotland,City of Edinburgh
Lewis Bell,1900,Forward,Edinburgh,3,1,0,0,United Kingdom,Scotland,City of Edinburgh
John Bell,1901,Forward,Airdrie,6,3,0,0,Canada,Alberta,Airdrie
Alexander Duncan,1901,Fullback,Midlothian,6,3,0,0,United Kingdom,Scotland,Midlothian
Nolan Fell,1901,Wing,Nelson,7,5,2,6,New Zealand/Aotearoa,Nelson,Missing
Andrew Flett,1901,Forward,Edinburgh,5,3,1,5,United Kingdom,Scotland,City of Edinburgh
Alex Frew,1901,Forward,Ayrshire,4,3,1,3,United Kingdom,Scotland,Ayrshire
Jimmy Ross,1901,Forward,Roxburgh,5,4,0,0,United Kingdom,Scotland,Scottish Borders
Robert Stronach,1901,Forward,Partick,5,3,1,3,United Kingdom,G,Scotland
Phipps Turnbull,1901,Centre,?,6,3,1,3,g,n,i
Francis Dods,1901,Forward,Glasgow,1,1,0,0,United Kingdom,G,Scotland
Robert Neill,1901,Fullback,Edinburgh,4,1,0,0,United Kingdom,Scotland,City of Edinburgh
John Bedell-Sivright,1902,Forward,Inverkeithing,1,0,0,0,United Kingdom,Scotland,Fife
Bill Kyle,1902,Forward,Hawick,21,10,2,6,United Kingdom,Scotland,Scottish Borders
Herbert Bullmore,1902,Forward,Qld,1,0,0,0,Australia,Queensland,Missing
Andrew Drybrough,1902,Centre,Edinburgh,2,1,0,0,United Kingdom,Scotland,City of Edinburgh
Ernest Simson,1902,Halfback,Edinburgh,17,10,4,16,United Kingdom,Scotland,City of Edinburgh
Fatty Cairns,1903,Forward,Hamilton,12,7,0,0,Canada,Ontario,Hamilton
Walter Forrest,1903,Fullback,Kelso,8,5,0,2,United States of America,Washington,Cowlitz County
Norman Kennedy,1903,Lock,Ayr,3,3,0,0,United Kingdom,Scotland,South Ayrshire
John Knox,1903,Scrum-half,?,3,3,0,0,g,n,i
Hugh Orr,1903,Centre,Dineliquin,5,4,1,3,g,n,i
Leonard West,1903,Forward,?,9,5,0,0,g,n,i
Charles France,1903,Wing,?,1,1,0,0,g,n,i
Jack Dallas,1903,Forward,Edinburgh,1,1,1,3,United Kingdom,Scotland,City of Edinburgh
Jimmy Macdonald,1903,Wing,Stellenbosch,5,3,2,10,South Africa,Western Cape,Cape Winelands District Municipality
Alexander Bisset,1904,Halfback,Duns,1,0,0,0,United Kingdom,Scotland,Scottish Borders
George Crabbie,1904,Wing,Edinburgh,1,0,0,0,United Kingdom,Scotland,City of Edinburgh
Lewis MacLeod,1904,Centre,?,6,2,0,0,g,n,i
Edward Ross,1904,Forward,?,1,0,0,0,g,n,i
William Milne,1904,Forward,Glasgow,4,2,0,0,United Kingdom,G,Scotland
Joseph Waters,1904,Forward,Dunoon,2,2,0,0,United Kingdom,Scotland,Argyll and Bute
Hugh Fletcher,1904,Forward,Norwich,2,1,0,0,United Kingdom,England,East of England
John Forbes,1905,Centre,Edinburgh,3,1,0,0,United Kingdom,Scotland,City of Edinburgh
Ned Little,1905,Forward,Hawick,1,0,1,3,United Kingdom,Scotland,Scottish Borders
Pat Munro,1905,Halfback,Leeds,13,5,2,14,United Kingdom,England,Yorkshire and the Humber
Andrew Ross,1905,Forward,Edinburgh,5,2,0,0,United Kingdom,Scotland,City of Edinburgh
Maurice Dickson,1905,Forward,Angus,1,0,0,0,United Kingdom,Scotland,Angus
Harold McCowat,1905,Wing,Durban,1,0,0,0,South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
William Ritchie,1905,Wing,Dunedin,2,1,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Tom Elliot,1905,Wing,?,1,1,0,0,g,n,i
John MacCallum,1905,Forward,?,26,13,2,24,g,n,i
Hugh Monteith,1905,Forward,Dumfriesshi,8,6,1,3,g,n,i
Douglas Schulze,1905,Fullback,Glasgow,13,7,0,4,United Kingdom,G,Scotland
Louis Greig,1903,Halfback,Glasgow,8,2,0,0,United Kingdom,G,Scotland
James Mackenzie,1905,Forward,Sunderland,9,3,0,0,United Kingdom,England,North East England
Ken MacLeod,1905,Wing,Dumba,10,6,4,25,Nigeria,Bauchi,Gamawa
William Russell,1905,Flanker,?,4,1,0,0,g,n,i
John Scoular,1905,Fullback,Whitehaven,5,2,0,0,United Kingdom,CA28 7XY,England
John Simson,1905,Wing,?,7,3,2,6,g,n,i
Tennant Sloan,1905,Centre,Glasgow,7,4,0,0,United Kingdom,G,Scotland
Bill Church,1906,Centre,Glasgow,1,0,0,0,United Kingdom,G,Scotland
Alec Purves,1906,Wing,Kingston-upon-Thames,10,6,6,22,United Kingdom,KT2 5EB,England
Maurie Walter,1906,Centre,Yokohama,8,5,2,6,日本,関東地方,神奈川県
George Frew,1906,Forward,Larkhall,15,9,1,3,United Kingdom,ML9,Scotland
Campbell Geddes,1906,Forward,Hampstead,6,5,0,10,United Kingdom,England,Greater London
Louis Speirs,1906,Forward,Edinburgh,10,6,0,0,United Kingdom,Scotland,City of Edinburgh
William Thomson,1906,Forward,Lancs,1,1,0,0,United Kingdom,S6 3TB,England
Duncan MacGregor,1907,Centre,Pontypridd,3,3,0,0,United Kingdom,CF37; CF38,Wales
George Sanderson,1907,Forward,Edinburgh,4,3,1,3,United Kingdom,Scotland,City of Edinburgh
Jock Scott,1907,Flanker,Edinburgh,21,8,1,3,United Kingdom,Scotland,City of Edinburgh
J.A. Brown,1908,Hooker,date unknown,2,0,0,0,g,n,i
George Cunningham,1908,Halfback,Broughty Ferry,8,3,0,11,United Kingdom,Scotland,Dundee City
Geoffrey Gowlland,1908,Forward,Ealing,7,3,1,3,United Kingdom,England,Greater London
Hugh Martin,1908,Wing,Edinburgh,5,2,1,3,United Kingdom,Scotland,City of Edinburgh
John Wilson,1908,Forward,Trinidad,2,0,0,0,United States of America,Colorado,Las Animas County
Colin Gilray,1905,Wing,Broughty Ferry,5,3,1,3,United Kingdom,Scotland,Dundee City
James Robertson,1908,Fly-half,?,1,1,0,0,g,n,i
Lewis Robertson,1908,Forward,Hawthornden,9,3,0,0,United Kingdom,LS21 3LE,England
Albert Wade,1908,Scrum-half,Glasgow,1,1,0,0,United Kingdom,G,Scotland
Gus Angus,1909,Centre,NSW,18,7,3,9,Australia,New South Wales,Missing
