['Ilaitia Cobitu', '1947', 'Flanker', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Emosi Dawai', '1947', 'Wing', '1', '1', '0', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Luke Dawai', '1947', 'Forward', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Solomone Mataiyavi', '1947', 'Lock', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Onisimo Naikovu', '1947', 'Prop', '4', '3', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Tuiyau Naitini', '1947', 'Scrum-half', '5', '3', '2', '0', '0', '0', 'circa 1910', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Etuate Nima', '1947', 'Wing', '3', '2', '1', '0', '4', '12', 'date unknown', 'g', 'n', 'i', 's']
['Manasa Nukuvou', '1947', 'Flanker', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ilisoni Ravoka', '1947', 'Wing', '4', '3', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Lui Saladoka', '1947', 'Hooker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Waisea Tuisese', '1947', 'Centre', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Alipate Veikoso', '1947', 'Fly-half', '5', '3', '2', '0', '1', '9', 'date unknown', 'g', 'n', 'i', 's']
['Taniela Ranavue', '1947', 'Fullback', '10', '5', '5', '0', '3', '41', 'date unknown', 'g', 'n', 'i', 's']
['Marika Tabukaci', '1947', 'Prop', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Apisake Kikau', '1948', 'Lock', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Malakai Labaibure', '1948', 'Lock', '8', '2', '6', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Joeli Susu', '1948', 'Hooker', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Sailosi Valewai', '1948', 'Prop', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Ilaitia Vuivuda', '1948', 'Fullback', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Atunaisa Camaibau', '1948', 'Lock', '2', '1', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Kalivati Cavuilati', '1948', 'Wing', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Macanawai Cevalawa', '1948', 'Lock', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jone Ravu', '1948', 'Fly-half', '5', '2', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Alipate Doviverata', '1948', 'Wing', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Semisi Baleca', '1951', 'Lock', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['George Cavalevu', '1951', 'Centre', '8', '4', '4', '0', '4', '12', 'date unknown', 'g', 'n', 'i', 's']
['Sunia Ganilau', '1951', 'Centre', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Waisake Kunavula', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Penaia Lese', '1951', 'Fullback', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Josefa Levula', '1951', 'Wing', '17', '8', '8', '1', '8', '32', 'date unknown', 'g', 'n', 'i', 's']
['Isimeli Radrodro', '1951', 'No. 8', '5', '4', '1', '0', '0', '6', 'date unknown', 'g', 'n', 'i', 's']
['Semisi Ralagi', '1951', 'Prop', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Wame Salabogi', '1951', 'Fly-half', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Maikeli Tuvoli', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Suliasi Vatubua', '1951', 'Scrum-half', '10', '5', '5', '0', '0', '16', 'date unknown', 'g', 'n', 'i', 's']
['Rusiate Vuruya', '1951', 'No. 8', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Savenaca Pe', '1951', 'Prop', '5', '3', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Peni Tove', '1951', 'Prop', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Semesa Seruvatu', '1952', 'Lock', '7', '3', '4', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Isikeli Cawa', '1952', 'Lock', '3', '3', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
